gene,n_pairs,r
ARRDC4,17966,0.344
H2BC5,17877,0.3439
EEF1A1,18326,0.3439
SLC4A2,17936,0.3438
CEP250,18263,0.3435
ENSG00000265690,16614,0.3433
LINC01177,62,0.3431
MSN,18328,0.3429
GARIN3P1,38,0.3428
NR4A1,18274,0.3428
EEF1G,18328,0.3427
OR10A3,411,0.3427
ENSG00000224583,170,0.3426
ENSG00000227397,32,0.3426
ENSG00000285562,81,0.3425
LAMB2,18075,0.3424
SMYD3,18329,0.3415
OR51C1P,349,0.3414
INS,119,0.3414
ENSG00000276845,76,0.3413
ENSG00000290968,64,0.3411
ZNF402P,108,0.341
CCT5P1,4776,0.341
ENSG00000285615,75,0.3408
AGRN,18207,0.3407
HMGA2,18329,0.3406
ENSG00000235149,102,0.3404
HCFC1,18167,0.3397
SMTN,18096,0.3396
EIF4A1P11,142,0.3396
ENSG00000270218,74,0.3395
ENSG00000264023,434,0.3395
MRPL49P2,35,0.3393
LNCPRESS2,2948,0.3388
DCTN1,17985,0.3384
ENSG00000288789,54,0.3384
FEZF2,123,0.3382
PRKAR1A,18327,0.3381
ENSG00000232080,47,0.338
TMSB4XP6,8367,0.3377
H2BC21,17710,0.3375
FZR1,17993,0.3373
TRERNA1,136,0.3372
SF3A1,18175,0.3372
RBMS3,18327,0.3371
ZNF839P1,68,0.337
INSIG1,18260,0.3366
CLASP1-AS1,17228,0.3364
FBXO36P1,396,0.3353
NOC2L,18022,0.3351
SLC2A1,18329,0.335
IER2,18215,0.3349
NONO,18306,0.3349
ENSG00000289644,74,0.3348
ENSG00000224250,97,0.3345
SCD,18329,0.334
RPL31P7,76,0.334
GBE1,18329,0.3336
SEPHS1P4,86,0.3335
H1-5,16950,0.3335
DEFB128,46,0.3335
HDAC9,18327,0.3332
H4C6,2972,0.3331
GH1,31,0.3331
FLNB,18329,0.333
AKAP12,18329,0.3328
KMT2D,18305,0.332
ENSG00000271239,73,0.332
SNORA48B,43,0.3319
PDIA4,18302,0.3319
ARL2BPP4,41,0.3319
TPM3,18329,0.3316
EIF3C,17589,0.3315
CD55,18329,0.3313
ERRFI1,18329,0.3313
Y_RNA-376,105,0.3312
Y_RNA-204,192,0.3307
GPRC5A,18329,0.3306
MBD5,18329,0.3303
NIP7P2,23,0.3302
NCOA1,18329,0.3302
ENSG00000243655,73,0.3299
ENSG00000266654,105,0.3294
GLRX5P2,94,0.3293
FAM13A,18329,0.3292
LRP1,18325,0.329
ENSG00000279173,95,0.3287
KAT6B,18325,0.3286
MEMO1P2,59,0.3283
TANC2,18329,0.3282
ACTG1,18329,0.328
ENSG00000290042,263,0.3273
RNF44,17878,0.3269
PLD1,18313,0.3265
MCM7,18093,0.3264
ENSG00000248423,201,0.3264
LINC02247,57,0.3263
ENSG00000230175,169,0.3259
LMNB2,17929,0.3258
KLHL24,18327,0.3258
RPL7AP33,22,0.3257
WDFY2,18329,0.3257
NIHCOLE,18329,0.3255
HSPG2,18316,0.3255
RORA,18329,0.3252
ENSG00000226400,154,0.3252
RPL29,17948,0.3248
CICP27,48,0.3248
PLOD2,18329,0.3244
SOD2,18329,0.3244
ENSG00000272164,78,0.3235
PPIAP45,249,0.3234
RPL3P10,65,0.3233
LINC01180,403,0.3232
PFKL,18182,0.3231
KRT8,18318,0.3227
CTDSP2,18141,0.3225
ENSG00000237160,284,0.3221
SPRED2,18329,0.3219
MTND2P31,408,0.3218
MTND3P23,59,0.3211
P4HB,18329,0.3211
LDHA,18329,0.321
ZFAND5,18245,0.321
STRN4,18013,0.3209
RNU4-90P,44,0.3209
EZR,18329,0.3206
ID1,18174,0.3206
ZMIZ2,18179,0.3204
RPL30P12,47,0.3201
Y_RNA-295,83,0.32
MTND3P10,179,0.3199
HNRNPU,18329,0.3196
ENSG00000276403,676,0.3196
PNPLA7,17730,0.3195
ENSG00000250084,971,0.3194
CIC,17963,0.3192
NDRG1,18329,0.3189
TMSB4X,18326,0.3189
PIEZO1,18118,0.3189
MAML2,18328,0.3188
CENPB,17743,0.3188
RRM2,18242,0.3187
TMEM109,17701,0.3184
SST,197,0.318
HFM1,17152,0.318
BZW1,18329,0.3178
ENSG00000250071,80,0.3178
IGF2,18312,0.3178
TOMM40P2,103,0.3178
PLCG1,18116,0.3177
BRIX1P1,63,0.3177
MAP1LC3B,18327,0.3175
MTND3P6,312,0.3169
MAP4K4,18329,0.3168
NFKBIA,18322,0.3167
ENSG00000285564,262,0.3167
RNU1-131P,33,0.3166
CHD3,18271,0.3163
NAV2,18328,0.3161
ENSG00000290050,267,0.3159
LINC01489,159,0.3159
RPL7P12,102,0.3158
OR2C1,92,0.3157
H19,16540,0.3156
SNRPGP2,98,0.3156
LINC02782,62,0.3156
ENSG00000264340,427,0.3155
CCDC9,18022,0.3153
Metazoa_SRP-129,60,0.3152
POLR2A,18329,0.3151
TIMP2,18324,0.3147
FOSB,18258,0.3145
KRT8P24,96,0.3144
FOS,18289,0.3144
TMEM167AP2,2571,0.3142
CALM2,18329,0.314
OR10A6,345,0.3137
ANTXR2,18324,0.3137
TNIP1,18326,0.3137
BCL9L,18282,0.3136
SRRM2,18329,0.3135
HSPA5,18329,0.3131
FKBP4,18085,0.3131
SP100,18329,0.313
RPL7AP58,204,0.3129
SELENON,17698,0.3129
HMG20B,17968,0.3128
ZYX,18083,0.3122
FAM223B,56,0.3122
PDIA3,18329,0.3122
KRT8P51,199,0.3121
RNU4ATAC,16269,0.312
TBC1D27P,235,0.3118
ITGA3,18327,0.3117
