patient,drug,n_first,n_second,n_both,jaccard
ACH-000236,Docetaxel (Trihydrate),139,1752,81,0.0448
ACH-000236,Dorzolamide (hydrochloride),263,1476,152,0.0958
ACH-000236,Doxorubicin (hydrochloride),420,3449,241,0.0664
ACH-000236,Doxycycline (monohydrate),138,1092,87,0.0761
ACH-000236,Drospirenone,2029,2675,829,0.2139
ACH-000236,ERK5-IN-2,3193,4802,1433,0.2184
ACH-000236,ETC-206,2458,1379,616,0.1912
ACH-000236,EX229,5155,3964,2133,0.3053
ACH-000236,Econazole,1363,707,225,0.122
ACH-000236,Elagolix sodium,1689,3414,880,0.2084
ACH-000236,Elimusertib hydrochloride,4286,2841,1354,0.2345
ACH-000236,Encorafenib,13126,4114,236,0.0139
ACH-000236,Entecavir (monohydrate),67,1166,44,0.037
ACH-000236,Entrectinib,1395,1509,354,0.1388
ACH-000236,Epirubicin (hydrochloride),126,3373,63,0.0183
ACH-000236,Eplerenone,196,884,103,0.1054
ACH-000236,Erdafitinib ,11036,1675,129,0.0103
ACH-000236,Erlotinib,564,1329,224,0.1342
ACH-000236,Erythromycin,855,1266,245,0.1306
ACH-000236,Esmolol (hydrochloride),1168,1555,375,0.1597
ACH-000236,Estrone sulfate (potassium),1926,1530,483,0.1625
ACH-000236,Everolimus,2572,1623,617,0.1724
ACH-000236,Fedratinib (hydrochloride hydrate),1754,2506,711,0.2003
ACH-000236,Fenofibrate,656,554,195,0.1921
ACH-000236,Ferulic acid,378,1542,228,0.1348
ACH-000236,Filgotinib,674,2198,282,0.1089
ACH-000236,Finasteride,151,1079,86,0.0752
ACH-000236,Fingolimod (hydrochloride),976,1578,330,0.1484
ACH-000236,Flumatinib (mesylate),1330,1831,555,0.213
ACH-000236,Flutamide,1101,1479,290,0.1266
ACH-000236,Fluvoxamine,383,1711,233,0.1252
ACH-000236,Fluvoxamine (maleate),1202,3445,704,0.1785
ACH-000236,Folic acid,1280,2758,732,0.2214
ACH-000236,Fulvestrant,1355,910,244,0.1207
ACH-000236,Fumaric acid,1469,2387,660,0.2065
ACH-000236,Furosemide,681,1992,341,0.1462
ACH-000236,Fusidic acid,1351,2604,747,0.2329
ACH-000236,Futibatinib,3812,2149,1030,0.2089
ACH-000236,GSK1059615,4820,5036,2093,0.2696
ACH-000236,Gallic acid,1730,2646,880,0.2517
ACH-000236,Gallic acid (hydrate),2135,3098,865,0.198
ACH-000236,Gefitinib,1000,988,219,0.1238
ACH-000236,Gemcitabine,3362,2443,1179,0.2549
ACH-000236,Gemfibrozil,1273,2887,693,0.1999
ACH-000236,Glycyrrhizic acid,358,976,127,0.1052
ACH-000236,Goserelin (acetate),1947,2899,1018,0.2659
ACH-000236,HI-TOPK-032,4219,3437,1354,0.2149
ACH-000236,Harringtonine,597,8294,513,0.0612
ACH-000236,Hesperidin,347,1132,154,0.1162
ACH-000236,Hexylresorcinol,1467,2331,743,0.2432
ACH-000236,Homoharringtonine,9124,12636,7949,0.5756
ACH-000236,Hydroxyfasudil,4258,820,333,0.0702
ACH-000236,Hydroxyurea,138,876,58,0.0607
ACH-000236,IQ 1,3077,2074,811,0.1869
ACH-000236,Idarubicin (hydrochloride),8222,13416,7070,0.4853
ACH-000236,Idoxuridine,1675,1242,476,0.195
ACH-000236,Imiquimod (hydrochloride),1625,1638,419,0.1473
ACH-000236,Imiquimod (maleate),95,882,51,0.0551
ACH-000236,Indacaterol (maleate),1480,896,279,0.133
ACH-000236,Infigratinib,2401,3115,981,0.2163
ACH-000236,Ipatasertib,4592,2566,1288,0.2194
ACH-000236,Irinotecan,2634,2002,862,0.2284
ACH-000236,Irinotecan (hydrochloride),2878,1365,626,0.1731
ACH-000236,Isocorydine,1470,2433,616,0.1874
ACH-000236,Ivermectin,1161,985,285,0.1531
ACH-000236,Ixazomib,2351,2533,917,0.2312
ACH-000236,Ixazomib citrate,1019,6193,703,0.108
ACH-000236,L-Eflornithine (monohydrochloride),1795,994,387,0.1611
ACH-000236,L-Thyroxine (sodium salt pentahydrate),1450,2601,609,0.1769
ACH-000236,LB-100,2257,1307,426,0.1358
ACH-000236,LJI308,3254,1680,853,0.209
ACH-000236,LY-2584702 (tosylate salt),3534,1838,841,0.1856
ACH-000236,LY2090314,1556,1458,378,0.1434
ACH-000236,Lactate (calcium),1224,1592,357,0.1452
ACH-000236,Lapatinib ditosylate,2584,1294,499,0.1477
ACH-000236,Larotrectinib,2014,2762,785,0.1967
ACH-000236,Lenalidomide (hemihydrate),825,2710,366,0.1155
ACH-000236,Levobupivacaine (hydrochloride),354,997,161,0.1353
ACH-000236,Lidocaine (hydrochloride),1952,4044,1010,0.2026
ACH-000236,Ligustrazine,158,1156,89,0.0727
ACH-000236,Lipoic acid,1026,1836,493,0.2081
ACH-000236,Lonafarnib,2634,2171,743,0.1829
ACH-000236,Loperamide (hydrochloride),1438,1640,448,0.1703
ACH-000236,Lopinavir,1740,1492,609,0.2322
ACH-000236,Lucanthone,1650,1402,592,0.2407
ACH-000236,Lumateperone (tosylate),1085,2380,577,0.1998
ACH-000236,MK-3903,3539,2612,974,0.1881
ACH-000236,MK-8353,3049,1217,662,0.1837
ACH-000236,ML264,3385,2412,966,0.2
ACH-000236,Macitentan,128,581,64,0.0992
ACH-000236,Malotilate,2770,2803,1339,0.3162
ACH-000236,Mebendazole,291,1903,190,0.0948
ACH-000236,Medroxyprogesterone acetate,1180,3458,614,0.1526
ACH-000236,Megestrol,2089,2244,648,0.1758
ACH-000236,Meloxicam,1458,1252,382,0.1641
ACH-000236,Menadione,274,1248,145,0.1053
ACH-000236,Methotrexate,1026,1419,321,0.1511
ACH-000236,Methyl aminolevulinate (hydrochloride),1867,1167,442,0.1705
ACH-000236,Methylprednisolone succinate,4154,9948,647,0.0481
ACH-000236,Methylthiouracil,956,1245,313,0.1658
ACH-000236,Mifepristone,228,1035,115,0.1002
ACH-000236,Minodronic acid,2654,2462,1072,0.2651
ACH-000236,Mitoxantrone (dihydrochloride),1821,8790,1313,0.1412
ACH-000236,Monocrotaline,248,915,125,0.1204
ACH-000236,Mozavaptan,299,1168,145,0.1097
ACH-000236,NG25,1736,3165,856,0.2116
ACH-000236,NVP-BHG712,3849,2677,1046,0.1909
ACH-000236,Nafamostat (mesylate),1188,1021,259,0.1328
ACH-000236,Naproxen,833,1018,279,0.1775
ACH-000236,Neratinib,1013,1596,372,0.1663
ACH-000236,Neratinib (maleate),1758,4957,1189,0.2152
ACH-000236,Nevirapine,239,1230,127,0.0946
ACH-000236,Niclosamide (olamine),378,3521,248,0.0679
ACH-000236,Norepinephrine (hydrochloride),1083,2922,537,0.1548
ACH-000236,OTS514,2579,2108,799,0.2055
ACH-000236,Olanzapine,1353,3300,881,0.2336
ACH-000236,Oleic acid,2596,1341,587,0.1752
ACH-000236,Omeprazole,608,1309,238,0.1418
ACH-000236,Omeprazole (sodium),1126,799,211,0.1231
ACH-000236,Orlistat,263,1154,121,0.0934
ACH-000236,Osimertinib (mesylate),1338,2250,533,0.1745
ACH-000236,Ouabain (Octahydrate),1474,8677,1189,0.1327
ACH-000236,Oxaliplatin,3095,2819,1430,0.3189
ACH-000236,Oxaprozin,1504,1566,442,0.1682
ACH-000236,PF-06260933,3215,12031,885,0.0616
ACH-000236,PH-797804,3804,6915,2160,0.2524
ACH-000236,Paclitaxel,3096,3924,1246,0.2158
ACH-000236,Palmatine (chloride),1963,2761,702,0.1745
ACH-000236,Panobinostat,6839,10880,5889,0.4978
ACH-000236,Pasireotide (acetate),1984,2920,870,0.2157
ACH-000236,Pemetrexed,358,1380,192,0.1242
ACH-000236,Pemigatinib,652,1053,82,0.0505
ACH-000236,Penfluridol,214,960,110,0.1034
ACH-000236,Pentagastrin,1484,3253,806,0.205
ACH-000236,Pentamidine (isethionate),1805,3098,821,0.2011
ACH-000236,Pentoxifylline,1924,2409,791,0.2233
ACH-000236,Peretinoin,514,2270,349,0.1433
ACH-000236,Perindopril (erbumine),448,686,131,0.1306
ACH-000236,Pexidartinib (hydrochloride),465,916,197,0.1664
ACH-000236,Phenylephrine (hydrochloride),1808,1226,425,0.1629
ACH-000236,Phenytoin (sodium),387,977,168,0.1405
ACH-000236,Pimitespib,3235,1166,573,0.1497
ACH-000236,Pimozide,1085,1209,302,0.1516
ACH-000236,Pioglitazone,1477,1625,562,0.2213
ACH-000236,Piroxicam,2481,1430,666,0.2052
ACH-000236,Pitavastatin (Calcium),375,1924,210,0.1005
ACH-000236,Ponatinib,1244,3202,518,0.1319
ACH-000236,Posaconazole,240,1890,148,0.0747
ACH-000236,Pralsetinib,2673,2614,922,0.2112
ACH-000236,Pravastatin (sodium),1444,1225,409,0.181
ACH-000236,Procainamide (hydrochloride),100,693,53,0.0716
ACH-000236,Proglumide,706,672,139,0.1122
ACH-000236,Pyridoxine,1366,2766,614,0.1745
ACH-000236,Pyridoxine (hydrochloride),3078,2859,1406,0.3103
ACH-000236,Quinestrol,1559,2655,815,0.2398
ACH-000236,Quinidine (15% dihydroquinidine),89,957,60,0.0609
ACH-000236,RMC-6236,3388,4036,1396,0.2316
ACH-000236,Radotinib,2167,3181,1087,0.2551
ACH-000236,Ralimetinib dimesylate,3647,973,485,0.1173
ACH-000236,Raltitrexed,1111,3383,661,0.1724
ACH-000236,Ranolazine,517,839,144,0.1188
ACH-000236,Rapamycin,1710,3521,910,0.2106
ACH-000236,Regorafenib,3870,1641,853,0.1831
ACH-000236,Relugolix,1310,2246,646,0.222
ACH-000236,Resveratrol,1444,2991,717,0.1928
ACH-000236,Retinoic acid,2670,2862,1035,0.2302
ACH-000236,Rifaximin,63,683,44,0.0627
ACH-000236,Riluzole hydrochloride,2349,4630,1426,0.2568
ACH-000236,Rimonabant,1342,2732,810,0.2482
ACH-000236,Ritonavir,1154,3141,544,0.145
ACH-000236,Ropivacaine (hydrochloride monohydrate),1554,3019,869,0.2346
ACH-000236,Rosiglitazone,260,1064,135,0.1135
ACH-000236,Roxadustat,292,2044,190,0.0885
ACH-000236,Rucaparib (phosphate),189,890,93,0.0943
ACH-000236,Rutin (trihydrate),879,1033,331,0.2094
ACH-000236,S-Adenosyl-L-methionine (disulfate tosylate),1843,3827,1207,0.2704
ACH-000236,SBI-0640756,7630,2070,151,0.0158
ACH-000236,Sacubitril/Valsartan,369,1806,252,0.131
ACH-000236,Salicylic acid,1525,3273,877,0.2237
ACH-000236,Sapanisertib,5078,4356,2088,0.2842
ACH-000236,Saquinavir,840,3460,441,0.1143
ACH-000236,Selinexor ,3518,6235,2294,0.3075
ACH-000236,Sildenafil,233,1324,135,0.0949
ACH-000236,Silodosin,121,391,52,0.113
ACH-000236,Simotinib,151,270,38,0.0992
ACH-000236,Sinomenine,996,2136,468,0.1757
ACH-000236,Sivelestat (sodium tetrahydrate),291,2611,201,0.0744
ACH-000236,Sodium Salicylate,1988,3082,955,0.2321
ACH-000236,Sonidegib,5142,4994,647,0.0682
ACH-000236,Sulfatinib,155,715,88,0.1125
ACH-000236,Sulfisoxazole,2335,2731,820,0.1931
ACH-000236,Sunitinib,1692,2616,788,0.2239
ACH-000236,TAK-733,2069,4525,1144,0.2099
ACH-000236,TAK-901,3754,9695,2636,0.2438
ACH-000236,Tadalafil,147,1655,101,0.0594
ACH-000236,Talc,1065,563,168,0.1151
ACH-000236,Tazarotene,1415,1470,483,0.2011
ACH-000236,Temsirolimus,2363,3169,1024,0.2272
ACH-000236,Temuterkib,3645,2688,1023,0.1927
ACH-000236,Terfenadine,2221,3453,966,0.2052
ACH-000236,Tetracycline (hydrochloride),158,1463,91,0.0595
ACH-000236,Thymol,1172,2107,402,0.1397
ACH-000236,Thymopentin,126,1442,80,0.0538
ACH-000236,Tirabrutinib,1023,1503,443,0.2127
ACH-000236,Tirabrutinib (hydrochloride),2246,2063,754,0.2121
ACH-000236,Tofacitinib,1384,3311,641,0.1581
ACH-000236,Tofacitinib (citrate),1671,2768,750,0.2033
ACH-000236,Tolcapone,1095,4068,743,0.1681
ACH-000236,Tolmetin,360,986,202,0.1766
ACH-000236,Tomivosertib,3580,2064,964,0.206
ACH-000236,Topotecan (hydrochloride),1484,4607,796,0.1503
ACH-000236,Torkinib,3646,2026,903,0.1893
ACH-000236,Trametinib,5713,5594,2906,0.3459
ACH-000236,Trametinib (DMSO_TF solvate),1600,1646,606,0.2295
ACH-000236,Tranilast,104,1057,68,0.0622
ACH-000236,Triamcinolone,2474,3305,1264,0.28
ACH-000236,Triclosan,1368,2730,696,0.2046
ACH-000236,Trifluridine,873,2827,426,0.1301
ACH-000236,Trimetrexate,1227,3797,682,0.1571
ACH-000236,Tubulin inhibitor 6,2945,1268,638,0.1785
ACH-000236,Tucatinib,2757,1933,955,0.2557
ACH-000236,Tucidinostat,3448,11371,3000,0.2538
ACH-000236,ULK-101,4213,1424,681,0.1374
ACH-000236,Uridine,853,1575,368,0.1786
ACH-000236,Valdecoxib,827,1125,248,0.1455
ACH-000236,Vandetanib,1489,1686,522,0.1968
ACH-000236,Vemurafenib,3247,2330,936,0.2017
ACH-000236,Verapamil,121,641,59,0.0839
ACH-000236,Verteporfin,193,1888,125,0.0639
ACH-000236,Vilanterol,995,2944,518,0.1514
ACH-000236,Vinblastine (sulfate),1928,3924,1111,0.2343
ACH-000236,Vismodegib,902,911,235,0.1489
ACH-000236,Vitamin K4,1614,1417,485,0.1905
ACH-000236,Volasertib,2689,1475,589,0.1648
ACH-000236,Voriconazole,1310,1089,343,0.1668
ACH-000236,Vortioxetine,1660,1684,550,0.1969
ACH-000236,XRK3F2,4069,2354,1039,0.193
ACH-000236,Zileuton,1314,780,244,0.1319
ACH-000236,c-Kit-IN-1,5717,2759,1960,0.3008
ACH-000236,crizotinib,243,1397,143,0.0955
ACH-000236,olaparib,2470,9311,400,0.0351
ACH-000236,palbociclib,2836,2120,771,0.1842
ACH-000236,venetoclax,3312,3802,1544,0.2772
ACH-000236,vincristine,3759,1978,956,0.2
ACH-000236,γ-Oryzanol,809,836,206,0.1432
ACH-000311,(R)-Verapamil (hydrochloride),0,2,0,0.0
ACH-000311,(S)-Crizotinib,0,5,0,0.0
ACH-000311,18β-Glycyrrhetinic acid,2,39,2,0.0513
ACH-000311,4EGI-1,3,0,0,0.0
ACH-000311,5-Azacytidine,0,1,0,0.0
ACH-000311,5-Fluorouracil,2,1,0,0.0
ACH-000311,8-Hydroxyquinoline,2,11,2,0.1818
ACH-000311,9-ING-41,28,0,0,0.0
ACH-000311,APTO-253,5,3,0,0.0
ACH-000311,AT7519,6,2,2,0.3333
ACH-000311,AZD-7648,20,4,2,0.0909
ACH-000311,AZD-8055,8,5,1,0.0833
ACH-000311,AZD1390,3,1,1,0.3333
ACH-000311,AZD2858,8,4,2,0.2
ACH-000311,Abemaciclib,10,0,0,0.0
ACH-000311,Abiraterone acetate,0,1,0,0.0
ACH-000311,Acetazolamide,0,2,0,0.0
ACH-000311,Acetohexamide,1,7,1,0.1429
ACH-000311,Adagrasib,2,31,0,0.0
ACH-000311,Adenine,1,2,1,0.5
ACH-000311,Adenosine,0,6,0,0.0
ACH-000311,Afatinib,2,5,0,0.0
ACH-000311,Aliskiren,2,8,1,0.1111
ACH-000311,Allantoin,3,2,1,0.25
ACH-000311,Allopurinol,1,1,1,1.0
ACH-000311,Almonertinib (hydrochloride),2,18,2,0.1111
ACH-000311,Almonertinib (mesylate),0,0,0,
ACH-000311,Alpelisib,4,3,2,0.4
ACH-000311,Altretamine,0,5,0,0.0
ACH-000311,Amsacrine,3,7,3,0.4286
ACH-000311,Anastrozole,0,1,0,0.0
ACH-000311,Anethole trithione,2,4,0,0.0
ACH-000311,Apalutamide,0,4,0,0.0
ACH-000311,Aprepitant,0,3,0,0.0
ACH-000311,Arbutin,0,4,0,0.0
ACH-000311,Artemether,2,1,1,0.5
ACH-000311,Artesunate,2,6,0,0.0
ACH-000311,Asciminib,0,1,0,0.0
ACH-000311,Aspirin,0,3,0,0.0
ACH-000311,Ataluren,0,3,0,0.0
ACH-000311,Atazanavir (sulfate),0,3,0,0.0
ACH-000311,Auranofin,0,2,0,0.0
ACH-000311,Azithromycin (hydrate),0,3,0,0.0
ACH-000311,BAY1125976,10,2,1,0.0909
ACH-000311,BI-3406,2,1,1,0.5
ACH-000311,BI-78D3,29,3,2,0.0667
ACH-000311,Baicalin,2,7,2,0.2857
ACH-000311,Balsalazide (sodium hydrate),0,4,0,0.0
ACH-000311,Belinostat,2,2,2,1.0
ACH-000311,Belumosudil,0,2,0,0.0
ACH-000311,Belumosudil (mesylate),2,2,1,0.3333
ACH-000311,Belzutifan,3,3,2,0.5
ACH-000311,Bendamustine,0,0,0,
ACH-000311,Benproperine (phosphate),0,3,0,0.0
ACH-000311,Bentamapimod,5,0,0,0.0
ACH-000311,Benztropine (mesylate),0,4,0,0.0
ACH-000311,Berbamine,1,3,1,0.3333
ACH-000311,Berbamine (dihydrochloride),0,2,0,0.0
ACH-000311,Berberine (chloride hydrate),4,5,2,0.2857
ACH-000311,Bergenin,1,4,0,0.0
ACH-000311,Bestatin,0,4,0,0.0
ACH-000311,Bestatin (hydrochloride),2,4,2,0.5
ACH-000311,Betamethasone dipropionate,0,3,0,0.0
ACH-000311,Bexarotene,0,1,0,0.0
ACH-000311,Bicalutamide,0,1,0,0.0
ACH-000311,Bimatoprost,0,22,0,0.0
ACH-000311,Bimiralisib,15,0,0,0.0
ACH-000311,Binimetinib,14,4,4,0.2857
ACH-000311,Bisoprolol (hemifumarate),0,2,0,0.0
ACH-000311,Bortezomib,18,13,5,0.1923
ACH-000311,Bosentan (hydrate),0,6,0,0.0
ACH-000311,Brimonidine,0,1,0,0.0
ACH-000311,Brivudine,19,2,1,0.05
ACH-000311,Budesonide,0,2,0,0.0
ACH-000311,Busulfan,3,10,3,0.3
ACH-000311,CP21R7,16,6,1,0.0476
ACH-000311,Cabozantinib (S-malate),2,3,2,0.6667
ACH-000311,Canagliflozin,0,4,0,0.0
ACH-000311,Canagliflozin (hemihydrate),0,3,0,0.0
ACH-000311,Capivasertib,5,1,1,0.2
ACH-000311,Capmatinib,5,2,0,0.0
ACH-000311,Captopril,0,1,0,0.0
ACH-000311,Carbamazepine,0,1,0,0.0
ACH-000311,Celecoxib,10,2,1,0.0909
ACH-000311,Cepharanthine,0,6,0,0.0
ACH-000311,Chlorhexidine (diacetate),2,4,2,0.5
ACH-000311,Ciclopirox,2,15,2,0.1333
ACH-000311,Cilostazol,0,4,0,0.0
ACH-000311,Cinacalcet,2,4,2,0.5
ACH-000311,Citalopram (hydrobromide),0,3,0,0.0
ACH-000311,Clobetasol propionate,2,2,2,1.0
ACH-000311,Clofarabine,0,4,0,0.0
ACH-000311,Clonidine (hydrochloride),0,10,0,0.0
ACH-000311,Clopidogrel,1,3,1,0.3333
ACH-000311,Clotrimazole,1,11,1,0.0909
ACH-000311,Cloxacillin (sodium),2,5,1,0.1667
ACH-000311,Cobimetinib,0,8,0,0.0
ACH-000311,Crizotinib (hydrochloride),0,3,0,0.0
ACH-000311,Cyclosporin A,0,3,0,0.0
ACH-000311,Cysteamine (hydrochloride),3,6,2,0.2857
ACH-000311,Cytarabine,0,1,0,0.0
ACH-000311,Cytarabine (hydrochloride),0,4,0,0.0
ACH-000311,DT-061,5,4,1,0.125
ACH-000311,DTP3,2,2,2,1.0
ACH-000311,Dabrafenib,4,2,0,0.0
ACH-000311,Daidzin,0,4,0,0.0
ACH-000311,Dapagliflozin,0,1,0,0.0
ACH-000311,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",0,4,0,0.0
ACH-000311,Darinaparsin,2,8,2,0.25
ACH-000311,Darolutamide,0,2,0,0.0
ACH-000311,Decitabine,0,4,0,0.0
ACH-000311,Delamanid,0,4,0,0.0
ACH-000311,Demeclocycline,2,13,1,0.0714
ACH-000311,Dexamethasone,0,0,0,
ACH-000311,Dexmedetomidine,0,2,0,0.0
ACH-000311,Diammonium Glycyrrhizinate,3,8,2,0.2222
ACH-000311,Digitoxin,3,6,3,0.5
ACH-000311,Dihydroartemisinin,2,2,1,0.3333
ACH-000311,Dimethyl fumarate,0,2,0,0.0
ACH-000311,Dinaciclib,0,14,0,0.0
ACH-000311,Diphenhydramine,0,1,0,0.0
ACH-000311,Docetaxel,3,7,2,0.25
ACH-000311,Docetaxel (Trihydrate),0,2,0,0.0
ACH-000311,Dorzolamide (hydrochloride),0,4,0,0.0
ACH-000311,Doxorubicin (hydrochloride),0,6,0,0.0
ACH-000311,Doxycycline (monohydrate),0,5,0,0.0
ACH-000311,Drospirenone,0,2,0,0.0
ACH-000311,ERK5-IN-2,7,5,3,0.3333
ACH-000311,ETC-206,2,0,0,0.0
ACH-000311,EX229,34,3,2,0.0571
ACH-000311,Econazole,0,0,0,
ACH-000311,Elagolix sodium,2,12,2,0.1667
ACH-000311,Elimusertib hydrochloride,7,1,1,0.1429
ACH-000311,Entecavir (monohydrate),0,1,0,0.0
ACH-000311,Entrectinib,0,1,0,0.0
ACH-000311,Epirubicin (hydrochloride),0,4,0,0.0
ACH-000311,Eplerenone,0,2,0,0.0
ACH-000311,Erlotinib,0,2,0,0.0
ACH-000311,Erythromycin,1,0,0,0.0
ACH-000311,Esmolol (hydrochloride),0,3,0,0.0
ACH-000311,Estrone sulfate (potassium),0,1,0,0.0
ACH-000311,Everolimus,0,3,0,0.0
ACH-000311,Fedratinib (hydrochloride hydrate),0,2,0,0.0
ACH-000311,Fenofibrate,0,4,0,0.0
ACH-000311,Ferulic acid,0,6,0,0.0
ACH-000311,Filgotinib,2,2,2,1.0
ACH-000311,Finasteride,0,5,0,0.0
ACH-000311,Fingolimod (hydrochloride),1,1,1,1.0
ACH-000311,Flumatinib (mesylate),0,3,0,0.0
ACH-000311,Flutamide,0,2,0,0.0
ACH-000311,Fluvoxamine,0,2,0,0.0
ACH-000311,Fluvoxamine (maleate),0,9,0,0.0
ACH-000311,Folic acid,1,5,1,0.2
ACH-000311,Fulvestrant,3,3,3,1.0
ACH-000311,Fumaric acid,0,0,0,
ACH-000311,Furosemide,5,5,4,0.6667
ACH-000311,Fusidic acid,1,17,1,0.0588
ACH-000311,Futibatinib,17,3,1,0.0526
ACH-000311,GSK1059615,8,6,2,0.1667
ACH-000311,Gallic acid,5,8,0,0.0
ACH-000311,Gallic acid (hydrate),3,16,1,0.0556
ACH-000311,Gefitinib,0,2,0,0.0
ACH-000311,Gemcitabine,10,0,0,0.0
ACH-000311,Gemfibrozil,5,12,3,0.2143
ACH-000311,Glycyrrhizic acid,0,5,0,0.0
ACH-000311,Goserelin (acetate),5,3,0,0.0
ACH-000311,HI-TOPK-032,22,1,0,0.0
ACH-000311,Harringtonine,0,9,0,0.0
ACH-000311,Hesperidin,0,3,0,0.0
ACH-000311,Hexylresorcinol,1,3,1,0.3333
ACH-000311,Homoharringtonine,4,75,3,0.0395
ACH-000311,Hydroxyfasudil,20,2,2,0.1
ACH-000311,Hydroxyurea,0,3,0,0.0
ACH-000311,IQ 1,5,0,0,0.0
ACH-000311,Idarubicin (hydrochloride),0,8,0,0.0
ACH-000311,Idoxuridine,0,2,0,0.0
ACH-000311,Imiquimod (hydrochloride),0,1,0,0.0
ACH-000311,Imiquimod (maleate),0,5,0,0.0
ACH-000311,Indacaterol (maleate),0,2,0,0.0
ACH-000311,Infigratinib,5,3,2,0.3333
ACH-000311,Ipatasertib,20,2,1,0.0476
ACH-000311,Irinotecan,7,0,0,0.0
ACH-000311,Irinotecan (hydrochloride),0,1,0,0.0
ACH-000311,Isocorydine,0,37,0,0.0
ACH-000311,Ivermectin,0,2,0,0.0
ACH-000311,Ixazomib,6,2,1,0.1429
ACH-000311,Ixazomib citrate,0,2,0,0.0
ACH-000311,L-Eflornithine (monohydrochloride),1,1,1,1.0
ACH-000311,L-Thyroxine (sodium salt pentahydrate),1,10,1,0.1
ACH-000311,LB-100,3,0,0,0.0
ACH-000311,LJI308,10,3,2,0.1818
ACH-000311,LY-2584702 (tosylate salt),17,1,1,0.0588
ACH-000311,LY2090314,4,4,2,0.3333
ACH-000311,Lactate (calcium),0,1,0,0.0
ACH-000311,Lapatinib ditosylate,19,0,0,0.0
ACH-000311,Larotrectinib,1,9,1,0.1111
ACH-000311,Lenalidomide (hemihydrate),2,4,2,0.5
ACH-000311,Levobupivacaine (hydrochloride),0,1,0,0.0
ACH-000311,Lidocaine (hydrochloride),3,8,3,0.375
ACH-000311,Ligustrazine,0,8,0,0.0
ACH-000311,Lipoic acid,1,1,1,1.0
ACH-000311,Lonafarnib,16,4,2,0.1111
ACH-000311,Loperamide (hydrochloride),0,2,0,0.0
ACH-000311,Lopinavir,1,0,0,0.0
ACH-000311,Lucanthone,0,2,0,0.0
ACH-000311,Lumateperone (tosylate),0,1,0,0.0
ACH-000311,MK-3903,11,4,2,0.1538
ACH-000311,MK-8353,2,3,2,0.6667
ACH-000311,ML264,5,2,0,0.0
ACH-000311,Macitentan,0,2,0,0.0
ACH-000311,Malotilate,0,2,0,0.0
ACH-000311,Mebendazole,0,2,0,0.0
ACH-000311,Medroxyprogesterone acetate,0,12,0,0.0
ACH-000311,Megestrol,1,24,1,0.0417
ACH-000311,Meloxicam,0,3,0,0.0
ACH-000311,Menadione,0,4,0,0.0
ACH-000311,Methotrexate,3,1,1,0.3333
ACH-000311,Methyl aminolevulinate (hydrochloride),0,0,0,
ACH-000311,Methylprednisolone succinate,26,0,0,0.0
ACH-000311,Methylthiouracil,0,1,0,0.0
ACH-000311,Mifepristone,0,3,0,0.0
ACH-000311,Minodronic acid,1,2,1,0.5
ACH-000311,Mitoxantrone (dihydrochloride),1,2,0,0.0
ACH-000311,Monocrotaline,0,3,0,0.0
ACH-000311,Mozavaptan,0,3,0,0.0
ACH-000311,NG25,3,0,0,0.0
ACH-000311,NVP-BHG712,16,1,1,0.0625
ACH-000311,Nafamostat (mesylate),0,1,0,0.0
ACH-000311,Naproxen,0,3,0,0.0
ACH-000311,Neratinib,2,0,0,0.0
ACH-000311,Neratinib (maleate),2,8,2,0.25
ACH-000311,Nevirapine,0,2,0,0.0
ACH-000311,Niclosamide (olamine),0,4,0,0.0
ACH-000311,Norepinephrine (hydrochloride),3,6,3,0.5
ACH-000311,OTS514,21,2,2,0.0952
ACH-000311,Olanzapine,2,5,0,0.0
ACH-000311,Oleic acid,9,5,3,0.2727
ACH-000311,Omeprazole,0,3,0,0.0
ACH-000311,Omeprazole (sodium),0,1,0,0.0
ACH-000311,Orlistat,0,3,0,0.0
ACH-000311,Osimertinib (mesylate),3,0,0,0.0
ACH-000311,Ouabain (Octahydrate),0,2,0,0.0
ACH-000311,Oxaliplatin,11,0,0,0.0
ACH-000311,Oxaprozin,0,2,0,0.0
ACH-000311,PF-06260933,7,0,0,0.0
ACH-000311,PH-797804,46,4,3,0.0638
ACH-000311,Paclitaxel,16,1,1,0.0625
ACH-000311,Palmatine (chloride),0,9,0,0.0
ACH-000311,Panobinostat,0,0,0,
ACH-000311,Pasireotide (acetate),1,3,1,0.3333
ACH-000311,Pemetrexed,0,5,0,0.0
ACH-000311,Pemigatinib,6,2,2,0.3333
ACH-000311,Penfluridol,0,4,0,0.0
ACH-000311,Pentagastrin,3,19,3,0.1579
ACH-000311,Pentamidine (isethionate),3,10,2,0.1818
ACH-000311,Pentoxifylline,0,1,0,0.0
ACH-000311,Peretinoin,0,3,0,0.0
ACH-000311,Perindopril (erbumine),0,0,0,
ACH-000311,Pexidartinib (hydrochloride),0,2,0,0.0
ACH-000311,Phenylephrine (hydrochloride),0,2,0,0.0
ACH-000311,Phenytoin (sodium),0,5,0,0.0
ACH-000311,Pimitespib,3,2,2,0.6667
ACH-000311,Pimozide,4,2,2,0.5
ACH-000311,Pioglitazone,0,3,0,0.0
ACH-000311,Piroxicam,0,2,0,0.0
ACH-000311,Pitavastatin (Calcium),0,4,0,0.0
