gene,n_pairs,r
KDM4B,1600,0.4468
EXOC6B,1600,0.4465
STAT2,1590,0.4464
ACBD3,1600,0.4461
ITGA6,1600,0.4458
PTK2,1600,0.4456
STC1,1600,0.4453
DLG2,1594,0.4453
EPS8,1600,0.4451
SMC1A,1598,0.4447
LNX2,1596,0.4445
AHCYL2,1599,0.4443
NSMCE2,1600,0.4443
SGO2,1583,0.4442
SNX29,1592,0.4441
DNAJC1,1600,0.4439
ALPK1,1591,0.4439
GYS1,1587,0.4437
BCAS3,1600,0.4436
INPPL1,1559,0.4436
RUNX1,1600,0.4435
XRN1,1600,0.4433
IGF1R,1600,0.4429
CLSPN,1563,0.4427
PDE8A,1600,0.4423
NF1,1600,0.4422
RND3,1593,0.442
ZMYND8,1600,0.4419
GBF1,1600,0.4417
KIAA1958,1600,0.4412
DIP2C,1600,0.4412
SLC2A3,1600,0.4406
ELF2,1600,0.4405
OSMR,1600,0.4405
MIR4435-2HG,1600,0.4403
VPS8,1599,0.4402
GIGYF2,1600,0.4402
ITPR3,1596,0.4402
SNAPC3,1592,0.44
UBE2D2,1600,0.44
CYTOR,1596,0.4397
UBB,1589,0.4397
ARHGEF3,1594,0.4389
LRIG2,1583,0.4388
NAV1,1600,0.4387
NRF1,1597,0.4383
ATXN7L1,1598,0.4375
PTGES3,1598,0.4374
PRKCSH,1591,0.4372
BRD2,1599,0.4371
PHF3,1600,0.4371
RBM14,1586,0.437
THSD4,1596,0.4367
DMXL1,1600,0.4365
ITGA3,1600,0.4362
ZNF160,1594,0.4358
FOXO3,1600,0.4358
SUPT3H,1600,0.4358
TPST1,1599,0.4357
RNASE6,42,0.4356
ASPH,1600,0.4355
PIR,1586,0.4351
DDIT3,1593,0.435
RNF145,1600,0.435
WIPF2,1600,0.4349
SRPK2,1600,0.4348
BRWD1,1600,0.4347
MNAT1,1600,0.4347
ATXN2,1600,0.4346
STX8,1598,0.4346
ELF1,1599,0.4346
ATXN3,1591,0.4346
FN1,1600,0.4345
PCLAF,1558,0.4341
GTF2B,1593,0.434
EZR,1600,0.4339
AP1G1,1600,0.4338
NT5E,1597,0.4338
SDC4,1600,0.4337
TPM4,1600,0.4337
NBEA,1598,0.4336
STK3,1600,0.4335
TRANK1,1568,0.4331
PHC3,1600,0.4331
RABGEF1,1600,0.4327
ODC1,1581,0.4325
ZFPM2-AS1,1600,0.4317
TTLL3,1579,0.4316
EIF2AK3,1600,0.4313
NCOA2,1600,0.4312
LDLR,1598,0.431
SBF2,1600,0.431
ACTN1,1600,0.4309
ZCCHC2,1598,0.4309
TET2,1596,0.4307
CNOT8,1598,0.4306
RREB1,1599,0.4304
TSC22D2,1600,0.4303
HMGA2,1600,0.4302
NPEPPS,1600,0.4302
SNX14,1598,0.4302
DCAF6,1599,0.4302
ZNF395,1598,0.4302
LUC7L,1600,0.4301
HSPA6,1247,0.43
RRAS2,1599,0.43
FMNL2,1600,0.4298
OASL,1582,0.4297
TBC1D22A,1600,0.4295
LGR4,1591,0.4293
SMURF1,1600,0.4293
NBEAL1,1600,0.4292
ANTXR2,1600,0.429
NGLY1,1600,0.4287
FGFRL1,1539,0.4286
MAP3K14,1583,0.4285
BZW1,1600,0.4284
CDK13,1600,0.4282
CDKL5,1594,0.428
PAPOLG,1581,0.4279
EVI5,1599,0.4277
NUCKS1,1600,0.4277
CBX5,1597,0.4277
FOSB,1591,0.4276
SOD2,1600,0.4273
STK17A,1599,0.4267
TUBB4B,1589,0.4265
MLLT3,1599,0.4264
AP3B1,1600,0.4263
PTMS,1585,0.4262
PLXNB2,1587,0.4262
WDR44,1596,0.4257
NCK1,1600,0.4255
FAM168A,1600,0.4254
LCORL,1600,0.4253
CRYZL1,1583,0.4251
NFX1,1599,0.4244
MCM3,1568,0.4243
KMT2E,1600,0.4243
ZEB1,1600,0.4242
NCOA5,1580,0.4238
TBC1D8,1600,0.4238
LMO7,1600,0.4236
PPP4R3A,1597,0.4234
SARM1,1572,0.4232
PLEKHA2,1595,0.4231
WDR45B,1600,0.4231
SMG6,1600,0.4231
ANXA1,1596,0.4231
KDM5B,1598,0.4226
FRS2,1599,0.4225
HECTD4,1600,0.4223
APAF1,1595,0.4222
MEMO1,1600,0.4217
UBXN7,1597,0.4217
FBXL3,1592,0.421
NONO,1597,0.4208
NFAT5,1600,0.4206
FLNB,1600,0.4203
CDC25C,1559,0.4202
MIR222HG,1585,0.4202
PPARD,1596,0.4201
WDR70,1598,0.4201
WAPL,1600,0.4198
CLTB,1582,0.4197
PUM1,1600,0.4196
CNOT4,1600,0.4195
TAF1D,1600,0.419
ARID2,1600,0.4189
MRPS6,1600,0.4187
NR2F2-AS1,1596,0.4187
TNRC6B,1600,0.4183
NME1,1566,0.4182
REPS1,1595,0.4182
SIPA1L3,1600,0.4181
PTPN13,1593,0.4177
BMPR1A,1598,0.4174
FDPS,1591,0.4172
RNGTT,1594,0.4171
SEC31A,1600,0.4171
MAP3K5,1599,0.4169
HDGF,1599,0.4167
PCCA,1600,0.4167
IMMP2L,1600,0.4162
YWHAZ,1600,0.4159
EEF1G,1600,0.4159
POLR2A,1600,0.4155
MAP1B,1600,0.4154
ERO1A,1600,0.4153
SEMA3C,1600,0.4153
TXN,1592,0.4153
COG7,1596,0.4151
ETNK1,1600,0.415
NTSR1,1580,0.4147
MROH8,1544,0.4147
PTEN,1600,0.4146
GPRC5A,1600,0.4146
CCSER2,1594,0.4145
PEG10,1586,0.4145
PDE4D,1600,0.4145
ZSWIM5,1597,0.4144
UBE3A,1600,0.4143
UBE3C,1600,0.4143
NOLC1,1592,0.4142
CCDC18-AS1,1594,0.4142
ACLY,1587,0.4142
MB21D2,1594,0.4142
CCT6A,1598,0.4141
PTPRM,1600,0.414
RCOR3,1600,0.414
RERE,1600,0.4139
WASF2,1600,0.4138
IFNGR1,1584,0.4136
RNF213,1600,0.4136
SORBS1,1582,0.4136
FSCN2,1444,0.4135
LENG8,1590,0.4135
GPATCH8,1600,0.4132
SEC24D,1599,0.4127
NCOA3,1600,0.4127
FAM53C,1589,0.4121
ANP32E,1596,0.4121
ZNF264,1581,0.412
SLC6A8,1572,0.4118
UBA6,1600,0.4118
GMCL1,1587,0.4115
MIR181A1HG,1600,0.4111
ATP2B1,1600,0.4109
RNF24,1600,0.4109
DHX36,1600,0.4109
SMCHD1,1600,0.4109
MEIS2,1600,0.4108
PAICS,1599,0.4108
ATAD2B,1599,0.4106
SART3,1586,0.4106
HMGA1,1600,0.4106
ZC3H6,1599,0.4105
XPO6,1599,0.4105
MCM4,1574,0.4102
DLEU2,1600,0.4101
RNF115,1598,0.41
