patient,drug,n_genes_scored,mean_abs_delta,r
ACH-000932,Alpelisib,10977,0.513,0.0816
ACH-000932,Bicalutamide,11811,0.4591,0.1474
ACH-000932,Bortezomib,10961,0.704,0.2769
ACH-000932,Capivasertib,11023,0.4816,0.0653
ACH-000932,Cytarabine,12109,0.3943,0.0425
ACH-000932,Dabrafenib,11095,0.4876,0.0319
ACH-000932,Dinaciclib,10323,1.5605,0.7462
ACH-000932,Docetaxel,11526,0.4694,0.1357
ACH-000932,Erlotinib,10918,0.4641,0.0098
ACH-000932,Fulvestrant,11502,0.4511,0.0998
ACH-000932,Gefitinib,11575,0.414,0.0588
ACH-000932,Gemcitabine,11285,0.4938,0.0711
ACH-000932,Ipatasertib,10909,0.6866,0.0254
ACH-000932,Irinotecan,11245,0.4794,0.0859
ACH-000932,LJI308,10808,0.6,0.2115
ACH-000932,Methotrexate,11337,0.4488,0.0871
ACH-000932,Oxaliplatin,11186,0.5014,0.0919
ACH-000932,Paclitaxel,11347,0.4638,0.0093
ACH-000932,Rapamycin,11415,0.4878,0.1609
ACH-000932,Retinoic acid,11530,0.4283,0.0458
ACH-000932,Temsirolimus,11288,0.4972,0.1444
ACH-000932,Trametinib,11952,0.4855,0.2731
ACH-000932,Trametinib (DMSO_TF solvate),11007,0.5179,0.0929
ACH-000932,Vismodegib,11436,0.4361,0.0699
ACH-000932,crizotinib,10851,0.4582,0.0448
ACH-000932,olaparib,10325,0.5302,0.0586
ACH-000932,palbociclib,11048,0.5106,0.0911
ACH-000932,venetoclax,11045,0.5312,0.0903
ACH-000940,5-Azacytidine,10374,0.5224,0.0858
ACH-000940,5-Fluorouracil,10363,0.5378,0.1114
ACH-000940,AZD-8055,10878,0.542,0.1223
ACH-000940,Afatinib,11819,0.405,0.092
ACH-000940,Alpelisib,10767,0.5664,0.138
ACH-000940,Bicalutamide,10769,0.503,0.0539
ACH-000940,Bortezomib,10799,0.7558,0.3112
ACH-000940,Capivasertib,10905,0.4976,0.0564
ACH-000940,Cytarabine,11103,0.4385,0.0154
ACH-000940,Dabrafenib,11017,0.4942,-0.0123
ACH-000940,Dinaciclib,9506,1.2776,0.6002
ACH-000940,Docetaxel,11421,0.4684,0.1008
ACH-000940,Erlotinib,9824,0.5446,0.0297
ACH-000940,Fulvestrant,10419,0.517,0.0973
ACH-000940,Gefitinib,10558,0.4759,0.0371
ACH-000940,Gemcitabine,11142,0.5073,0.0641
ACH-000940,Ipatasertib,10803,0.7528,0.1471
ACH-000940,Irinotecan,11127,0.4841,0.0575
ACH-000940,LJI308,10768,0.6498,0.2394
ACH-000940,Methotrexate,10245,0.5354,0.0678
ACH-000940,Oxaliplatin,11069,0.5034,0.0786
ACH-000940,Paclitaxel,11171,0.4684,-0.0264
ACH-000940,Rapamycin,11268,0.4758,0.1089
ACH-000940,Retinoic acid,11335,0.419,0.0322
ACH-000940,Temsirolimus,11159,0.4884,0.1259
ACH-000940,Trametinib,11491,0.4702,0.1781
ACH-000940,Trametinib (DMSO_TF solvate),10078,0.5646,0.101
ACH-000940,Vismodegib,10284,0.509,0.0431
ACH-000940,crizotinib,9887,0.5484,0.0337
ACH-000940,olaparib,11154,0.7294,0.1586
ACH-000940,palbociclib,10890,0.5266,0.1029
ACH-000940,venetoclax,11062,0.5219,0.0806
ACH-000943,5-Azacytidine,11534,0.4433,0.1324
ACH-000943,5-Fluorouracil,11589,0.4398,0.133
ACH-000943,AZD-8055,12066,0.4385,0.0987
ACH-000943,Afatinib,12644,0.3127,0.0196
ACH-000943,Alpelisib,11872,0.4484,0.1311
ACH-000943,Bicalutamide,11867,0.433,0.1131
ACH-000943,Bortezomib,12007,0.6155,0.2814
ACH-000943,Capivasertib,11992,0.411,0.0861
ACH-000943,Cytarabine,12163,0.3802,0.0358
ACH-000943,Dabrafenib,12047,0.4388,0.0865
ACH-000943,Dinaciclib,10366,1.6291,0.7844
ACH-000943,Docetaxel,12217,0.4695,0.2457
ACH-000943,Erlotinib,11009,0.4468,0.0629
ACH-000943,Fulvestrant,11651,0.4364,0.1258
ACH-000943,Gefitinib,11742,0.3905,0.053
ACH-000943,Gemcitabine,12193,0.4344,0.088
ACH-000943,Ipatasertib,11899,0.541,-0.01
ACH-000943,Irinotecan,12137,0.4304,0.125
ACH-000943,LJI308,11854,0.4979,0.1834
ACH-000943,Methotrexate,11441,0.4359,0.1132
ACH-000943,Oxaliplatin,12100,0.4494,0.1506
ACH-000943,Paclitaxel,12216,0.4067,0.0506
ACH-000943,Rapamycin,12240,0.4436,0.1924
ACH-000943,Retinoic acid,12298,0.389,0.1145
ACH-000943,Temsirolimus,12183,0.4374,0.157
ACH-000943,Trametinib,12435,0.4429,0.2614
ACH-000943,Trametinib (DMSO_TF solvate),11199,0.5096,0.1337
ACH-000943,Vismodegib,11531,0.4179,0.1114
ACH-000943,crizotinib,10971,0.4587,0.0973
ACH-000943,olaparib,12083,0.7787,0.1333
ACH-000943,palbociclib,11998,0.432,0.0946
ACH-000943,venetoclax,11997,0.4871,0.1352
ACH-000950,5-Azacytidine,12456,0.3971,0.1045
ACH-000950,5-Fluorouracil,12495,0.3704,0.1157
ACH-000950,AZD-8055,12837,0.4203,0.1695
ACH-000950,Afatinib,13254,0.2827,0.0865
ACH-000950,Alpelisib,12833,0.4091,0.1291
ACH-000950,Bicalutamide,12653,0.3815,0.1504
ACH-000950,Bortezomib,12834,0.612,0.3955
ACH-000950,Capivasertib,12861,0.354,0.0909
ACH-000950,Cytarabine,12919,0.3293,0.0704
ACH-000950,Dabrafenib,12876,0.3879,0.0716
ACH-000950,Dinaciclib,11771,1.2971,0.7048
ACH-000950,Docetaxel,12950,0.4001,0.2305
ACH-000950,Erlotinib,12155,0.3962,0.0443
ACH-000950,Fulvestrant,12564,0.3692,0.0724
ACH-000950,Gefitinib,12618,0.3481,0.0822
ACH-000950,Gemcitabine,12984,0.3606,0.1287
ACH-000950,Ipatasertib,12802,0.4717,0.0658
ACH-000950,Irinotecan,12980,0.3793,0.1514
ACH-000950,LJI308,12760,0.4504,0.1789
ACH-000950,Methotrexate,12426,0.3868,0.1217
ACH-000950,Oxaliplatin,12936,0.3902,0.17
ACH-000950,Paclitaxel,13012,0.3769,0.1017
ACH-000950,Rapamycin,12935,0.3807,0.1843
ACH-000950,Retinoic acid,12976,0.3287,0.1142
ACH-000950,Temsirolimus,12917,0.3784,0.1626
ACH-000950,Trametinib,13106,0.473,0.405
ACH-000950,Trametinib (DMSO_TF solvate),12329,0.5373,0.2758
ACH-000950,Vismodegib,12460,0.3775,0.0802
ACH-000950,crizotinib,12062,0.4014,0.0862
ACH-000950,olaparib,12950,0.7636,0.135
ACH-000950,palbociclib,12843,0.3941,0.1403
ACH-000950,venetoclax,12897,0.4504,0.2045
ACH-000954,5-Azacytidine,12466,0.3925,0.1181
ACH-000954,5-Fluorouracil,12501,0.3778,0.116
ACH-000954,AZD-8055,12934,0.4081,0.1636
ACH-000954,Afatinib,13241,0.2813,0.0646
ACH-000954,Alpelisib,12847,0.4021,0.155
ACH-000954,Bicalutamide,12572,0.3777,0.1199
ACH-000954,Bortezomib,12906,0.5978,0.3914
ACH-000954,Capivasertib,12875,0.3483,0.0812
ACH-000954,Cytarabine,12846,0.3247,0.0441
ACH-000954,Dabrafenib,12949,0.3572,0.0446
ACH-000954,Dinaciclib,11603,1.1548,0.6488
ACH-000954,Docetaxel,13034,0.4069,0.2236
ACH-000954,Erlotinib,12067,0.3934,0.0443
ACH-000954,Fulvestrant,12554,0.3688,0.0749
ACH-000954,Gefitinib,12585,0.3455,0.0519
ACH-000954,Gemcitabine,13062,0.3457,0.1169
ACH-000954,Ipatasertib,12839,0.4245,0.014
ACH-000954,Irinotecan,13008,0.3553,0.1059
ACH-000954,LJI308,12818,0.4342,0.1839
ACH-000954,Methotrexate,12419,0.3987,0.0911
ACH-000954,Oxaliplatin,12972,0.3824,0.1626
ACH-000954,Paclitaxel,13055,0.3548,0.0718
ACH-000954,Rapamycin,12984,0.3628,0.2
ACH-000954,Retinoic acid,13046,0.3283,0.1174
ACH-000954,Temsirolimus,12988,0.3701,0.1775
ACH-000954,Trametinib,13153,0.4114,0.308
ACH-000954,Trametinib (DMSO_TF solvate),12249,0.4942,0.2043
ACH-000954,Vismodegib,12395,0.3945,0.13
ACH-000954,crizotinib,11933,0.4047,0.0534
ACH-000954,olaparib,12947,0.8247,0.1388
ACH-000954,palbociclib,12890,0.3814,0.1273
ACH-000954,venetoclax,12927,0.4194,0.1415
ACH-000957,5-Azacytidine,12204,0.4203,0.1306
ACH-000957,5-Fluorouracil,12237,0.4077,0.1321
ACH-000957,AZD-8055,12425,0.4535,0.1718
ACH-000957,Afatinib,13022,0.303,0.0526
ACH-000957,Alpelisib,12382,0.4544,0.1395
ACH-000957,Bicalutamide,12401,0.3897,0.1329
ACH-000957,Bortezomib,12424,0.6879,0.4004
ACH-000957,Capivasertib,12449,0.3946,0.0861
ACH-000957,Cytarabine,12701,0.361,0.0631
ACH-000957,Dabrafenib,12478,0.4009,0.0573
ACH-000957,Dinaciclib,11219,1.1772,0.6471
ACH-000957,Docetaxel,12530,0.4463,0.2223
ACH-000957,Erlotinib,11765,0.4084,0.0254
ACH-000957,Fulvestrant,12285,0.4021,0.1057
ACH-000957,Gefitinib,12377,0.3629,0.0648
ACH-000957,Gemcitabine,12652,0.4,0.1175
ACH-000957,Ipatasertib,12327,0.505,0.0604
ACH-000957,Irinotecan,12581,0.4089,0.1291
ACH-000957,LJI308,12279,0.4798,0.1834
ACH-000957,Methotrexate,12179,0.4214,0.1025
ACH-000957,Oxaliplatin,12486,0.4223,0.1566
ACH-000957,Paclitaxel,12604,0.3935,0.0579
ACH-000957,Rapamycin,12527,0.4288,0.1953
ACH-000957,Retinoic acid,12602,0.3602,0.1021
ACH-000957,Temsirolimus,12511,0.424,0.1884
ACH-000957,Trametinib,12865,0.4424,0.3326
ACH-000957,Trametinib (DMSO_TF solvate),11937,0.4998,0.17
ACH-000957,Vismodegib,12183,0.3944,0.1061
ACH-000957,crizotinib,11571,0.4329,0.0761
ACH-000957,olaparib,12548,0.9164,0.1619
ACH-000957,palbociclib,12429,0.4296,0.1456
ACH-000957,venetoclax,12474,0.4545,0.1464
ACH-000958,5-Azacytidine,11201,0.4863,0.1183
ACH-000958,5-Fluorouracil,11327,0.4734,0.1106
ACH-000958,AZD-8055,11723,0.4542,0.1038
ACH-000958,Afatinib,12385,0.3612,0.0766
ACH-000958,Alpelisib,11619,0.4686,0.1069
ACH-000958,Bicalutamide,11557,0.4561,0.0748
ACH-000958,Bortezomib,11587,0.6921,0.3185
ACH-000958,Capivasertib,11698,0.4521,0.071
ACH-000958,Cytarabine,11798,0.4081,0.0456
ACH-000958,Dabrafenib,11791,0.451,0.0336
ACH-000958,Dinaciclib,9809,1.2162,0.5969
ACH-000958,Docetaxel,12008,0.4781,0.2143
ACH-000958,Erlotinib,10536,0.4863,0.0339
ACH-000958,Fulvestrant,11389,0.4851,0.1057
ACH-000958,Gefitinib,11390,0.441,0.0739
ACH-000958,Gemcitabine,12007,0.459,0.0904
ACH-000958,Ipatasertib,11636,0.6168,0.0778
ACH-000958,Irinotecan,11921,0.4406,0.1054
ACH-000958,LJI308,11570,0.5395,0.1596
ACH-000958,Methotrexate,11189,0.4725,0.087
ACH-000958,Oxaliplatin,11810,0.4687,0.1094
ACH-000958,Paclitaxel,12019,0.4294,0.0327
ACH-000958,Rapamycin,11966,0.4446,0.1498
ACH-000958,Retinoic acid,12029,0.396,0.0818
ACH-000958,Temsirolimus,11899,0.4576,0.1308
ACH-000958,Trametinib,12187,0.482,0.2622
ACH-000958,Trametinib (DMSO_TF solvate),10712,0.5615,0.1556
ACH-000958,Vismodegib,11238,0.4566,0.0554
ACH-000958,crizotinib,10234,0.5203,0.0709
ACH-000958,olaparib,11789,0.8214,0.1171
ACH-000958,palbociclib,11663,0.4863,0.1153
ACH-000958,venetoclax,11745,0.5015,0.1172
ACH-000997,5-Azacytidine,11740,0.4492,0.1271
ACH-000997,5-Fluorouracil,11771,0.4391,0.1144
ACH-000997,AZD-8055,11714,0.4948,0.1079
ACH-000997,Afatinib,12610,0.3395,0.0619
ACH-000997,Alpelisib,11560,0.5306,0.137
ACH-000997,Bicalutamide,11940,0.4272,0.1129
ACH-000997,Bortezomib,11751,0.6854,0.3301
ACH-000997,Capivasertib,11774,0.4598,0.0947
ACH-000997,Cytarabine,12376,0.3718,0.0418
ACH-000997,Dabrafenib,11786,0.4564,0.0516
ACH-000997,Dinaciclib,10454,1.1847,0.5804
ACH-000997,Docetaxel,12014,0.4881,0.1933
ACH-000997,Erlotinib,11168,0.4482,0.0419
ACH-000997,Fulvestrant,11795,0.4447,0.0992
ACH-000997,Gefitinib,11911,0.4032,0.057
ACH-000997,Gemcitabine,11988,0.4567,0.1079
ACH-000997,Ipatasertib,11534,0.6955,0.1248
ACH-000997,Irinotecan,11909,0.4637,0.1215
ACH-000997,LJI308,11521,0.58,0.2207
ACH-000997,Methotrexate,11648,0.451,0.1041
ACH-000997,Oxaliplatin,11801,0.4731,0.1023
ACH-000997,Paclitaxel,12073,0.4357,0.03
ACH-000997,Rapamycin,11987,0.4727,0.2104
ACH-000997,Retinoic acid,12072,0.4059,0.0782
ACH-000997,Temsirolimus,11889,0.4613,0.1509
ACH-000997,Trametinib,12399,0.4759,0.2806
ACH-000997,Trametinib (DMSO_TF solvate),11433,0.5241,0.184
ACH-000997,Vismodegib,11698,0.4154,0.0723
ACH-000997,crizotinib,10959,0.464,0.0855
ACH-000997,olaparib,11823,0.7939,0.1886
ACH-000997,palbociclib,11699,0.4949,0.1097
ACH-000997,venetoclax,11756,0.5262,0.1569
ACH-001021,5-Azacytidine,11387,0.4812,0.1203
ACH-001021,5-Fluorouracil,11417,0.4623,0.105
ACH-001021,AZD-8055,12150,0.4633,0.118
ACH-001021,Afatinib,12631,0.3467,0.0475
ACH-001021,Alpelisib,11994,0.4774,0.1078
ACH-001021,Bicalutamide,11778,0.4558,0.1039
ACH-001021,Bortezomib,12000,0.6706,0.3066
ACH-001021,Capivasertib,12049,0.4389,0.0619
ACH-001021,Cytarabine,11888,0.398,0.0662
ACH-001021,Dabrafenib,12175,0.4447,0.0427
ACH-001021,Dinaciclib,10249,1.0749,0.5488
ACH-001021,Docetaxel,12394,0.4527,0.1684
ACH-001021,Erlotinib,10684,0.4932,0.0493
ACH-001021,Fulvestrant,11515,0.4677,0.0913
ACH-001021,Gefitinib,11580,0.4154,0.0319
ACH-001021,Gemcitabine,12289,0.4412,0.0865
ACH-001021,Ipatasertib,11971,0.6265,0.1374
ACH-001021,Irinotecan,12256,0.4527,0.1146
ACH-001021,LJI308,11941,0.5271,0.1912
ACH-001021,Methotrexate,11361,0.4772,0.083
ACH-001021,Oxaliplatin,12190,0.4617,0.1087
ACH-001021,Paclitaxel,12331,0.4391,0.0805
ACH-001021,Rapamycin,12346,0.4418,0.1696
ACH-001021,Retinoic acid,12443,0.378,0.0704
ACH-001021,Temsirolimus,12289,0.4388,0.1415
ACH-001021,Trametinib,12408,0.4943,0.3249
ACH-001021,Trametinib (DMSO_TF solvate),10931,0.579,0.1773
ACH-001021,Vismodegib,11325,0.4649,0.088
ACH-001021,crizotinib,10480,0.5088,0.0372
ACH-001021,olaparib,12128,0.9275,0.1237
ACH-001021,palbociclib,12042,0.4542,0.0784
ACH-001021,venetoclax,12098,0.5074,0.1522
ACH-001039,5-Azacytidine,11593,0.4632,0.113
ACH-001039,5-Fluorouracil,11668,0.446,0.1189
ACH-001039,AZD-8055,11827,0.4994,0.1439
ACH-001039,Afatinib,12523,0.3465,0.1138
ACH-001039,Alpelisib,11657,0.49,0.0969
ACH-001039,Bicalutamide,11793,0.4466,0.1225
ACH-001039,Bortezomib,11841,0.7152,0.3648
ACH-001039,Capivasertib,11804,0.4518,0.0587
ACH-001039,Cytarabine,12231,0.3714,0.024
ACH-001039,Dabrafenib,11847,0.4833,0.101
ACH-001039,Dinaciclib,10381,1.626,0.784
ACH-001039,Docetaxel,11974,0.4778,0.1622
ACH-001039,Erlotinib,11125,0.4597,0.0297
ACH-001039,Fulvestrant,11657,0.4466,0.0736
ACH-001039,Gefitinib,11757,0.4156,0.0651
ACH-001039,Gemcitabine,12163,0.4404,0.0904
ACH-001039,Ipatasertib,11705,0.6399,-0.0101
ACH-001039,Irinotecan,12042,0.4533,0.136
ACH-001039,LJI308,11679,0.5432,0.155
ACH-001039,Methotrexate,11474,0.4632,0.1136
ACH-001039,Oxaliplatin,11879,0.4836,0.131
ACH-001039,Paclitaxel,12048,0.454,0.074
ACH-001039,Rapamycin,11996,0.4592,0.1494
ACH-001039,Retinoic acid,12106,0.4202,0.1017
ACH-001039,Temsirolimus,11886,0.4621,0.137
ACH-001039,Trametinib,12295,0.4947,0.3257
ACH-001039,Trametinib (DMSO_TF solvate),11240,0.5391,0.1704
ACH-001039,Vismodegib,11550,0.4463,0.0883
ACH-001039,crizotinib,10973,0.4832,0.071
ACH-001039,olaparib,11936,0.7776,0.1137
ACH-001039,palbociclib,11817,0.4699,0.084
ACH-001039,venetoclax,11803,0.52,0.1158
ACH-001190,5-Azacytidine,12262,0.4279,0.1225
ACH-001190,5-Fluorouracil,12285,0.4041,0.1227
ACH-001190,AZD-8055,12292,0.4446,0.1144
ACH-001190,Afatinib,12949,0.2989,0.085
ACH-001190,Alpelisib,12201,0.4503,0.1131
ACH-001190,Bicalutamide,12467,0.3901,0.1274
ACH-001190,Bortezomib,12157,0.6808,0.3178
ACH-001190,Capivasertib,12283,0.4236,0.0966
ACH-001190,Cytarabine,12775,0.3399,0.0511
ACH-001190,Dabrafenib,12309,0.4336,0.0439
ACH-001190,Dinaciclib,11431,1.3463,0.6927
ACH-001190,Docetaxel,12518,0.4242,0.1847
ACH-001190,Erlotinib,11941,0.4086,0.0503
ACH-001190,Fulvestrant,12326,0.4201,0.1343
ACH-001190,Gefitinib,12370,0.3579,0.0259
ACH-001190,Gemcitabine,12474,0.4227,0.1193
ACH-001190,Ipatasertib,12243,0.5026,0.0312
ACH-001190,Irinotecan,12398,0.424,0.1522
ACH-001190,LJI308,12142,0.51,0.2003
ACH-001190,Methotrexate,12227,0.4212,0.0946
ACH-001190,Oxaliplatin,12377,0.4483,0.1624
ACH-001190,Paclitaxel,12448,0.4123,0.0537
ACH-001190,Rapamycin,12528,0.4316,0.2124
ACH-001190,Retinoic acid,12579,0.3845,0.1352
ACH-001190,Temsirolimus,12478,0.435,0.162
ACH-001190,Trametinib,12739,0.4925,0.3835
ACH-001190,Trametinib (DMSO_TF solvate),11977,0.5473,0.2535
ACH-001190,Vismodegib,12258,0.3982,0.0921
ACH-001190,crizotinib,11787,0.4165,0.0594
ACH-001190,olaparib,12358,0.7681,0.0905
ACH-001190,palbociclib,12241,0.4398,0.0859
ACH-001190,venetoclax,12237,0.4817,0.1422
ACH-001333,5-Azacytidine,11476,0.4606,0.1232
ACH-001333,5-Fluorouracil,11539,0.4639,0.1631
ACH-001333,AZD-8055,11964,0.4518,0.0911
ACH-001333,Afatinib,12616,0.3717,0.1092
ACH-001333,Alpelisib,11886,0.4599,0.0968
ACH-001333,Bicalutamide,11837,0.4461,0.1299
ACH-001333,Bortezomib,11952,0.6164,0.2706
ACH-001333,Capivasertib,11924,0.4308,0.083
ACH-001333,Cytarabine,12204,0.3718,0.0259
ACH-001333,Dabrafenib,12007,0.4261,0.0444
ACH-001333,Dinaciclib,10546,1.455,0.7217
ACH-001333,Docetaxel,12287,0.4125,0.1116
ACH-001333,Erlotinib,11049,0.4723,0.0448
ACH-001333,Fulvestrant,11561,0.4577,0.1386
ACH-001333,Gefitinib,11620,0.4397,0.0933
ACH-001333,Gemcitabine,12135,0.4312,0.0801
ACH-001333,Ipatasertib,11859,0.5626,0.04
ACH-001333,Irinotecan,12068,0.4437,0.1161
ACH-001333,LJI308,11778,0.5205,0.1978
ACH-001333,Methotrexate,11424,0.467,0.1229
ACH-001333,Oxaliplatin,12056,0.4506,0.0958
ACH-001333,Paclitaxel,12207,0.4127,0.0152
ACH-001333,Rapamycin,12225,0.4315,0.1592
ACH-001333,Retinoic acid,12293,0.3837,0.0788
ACH-001333,Temsirolimus,12152,0.4424,0.1556
ACH-001333,Trametinib,12426,0.4464,0.2393
ACH-001333,Trametinib (DMSO_TF solvate),11298,0.5096,0.118
ACH-001333,Vismodegib,11432,0.4392,0.1084
ACH-001333,crizotinib,10997,0.4564,0.0798
ACH-001333,olaparib,12092,0.7728,0.1208
ACH-001333,palbociclib,11913,0.4484,0.0859
ACH-001333,venetoclax,11979,0.4837,0.1538
NA,5-Azacytidine,11518,0.4725,0.1228
NA,5-Fluorouracil,11579,0.4771,0.135
NA,AZD-8055,12183,0.4403,0.0898
NA,Afatinib,12651,0.3339,0.0365
NA,Alpelisib,12051,0.4637,0.1039
NA,Bicalutamide,11937,0.4333,0.1002
NA,Bortezomib,12035,0.6748,0.3279
NA,Capivasertib,12129,0.436,0.0665
NA,Cytarabine,12038,0.3923,0.0281
NA,Dabrafenib,12241,0.439,0.0318
NA,Dinaciclib,10591,1.141,0.5837
NA,Docetaxel,12265,0.5457,0.2205
NA,Erlotinib,10846,0.4742,0.0154
NA,Fulvestrant,11696,0.4529,0.1122
NA,Gefitinib,11856,0.4293,0.0709
NA,Gemcitabine,12368,0.4393,0.0827
NA,Ipatasertib,12012,0.6292,0.0106
NA,Irinotecan,12361,0.4333,0.1006
NA,LJI308,11968,0.5402,0.186
NA,Methotrexate,11507,0.4712,0.0914
NA,Oxaliplatin,12180,0.4684,0.1484
NA,Paclitaxel,12478,0.4119,0.0191
NA,Rapamycin,12219,0.4594,0.1673
NA,Retinoic acid,12308,0.3911,0.0679
NA,Temsirolimus,12114,0.4558,0.1292
NA,Trametinib,12555,0.4222,0.1642
NA,Trametinib (DMSO_TF solvate),11128,0.5035,0.0844
NA,Vismodegib,11509,0.4526,0.1155
NA,crizotinib,10855,0.478,0.0402
NA,olaparib,12157,0.9698,0.1327
NA,palbociclib,12106,0.4372,0.0749
NA,venetoclax,12183,0.4859,0.1128
