patient,drug,n_rows,n_plates,n_plates_half0,n_plates_half1,n_dose_levels
ACH-000521,Erlotinib,188130,3,1,2,3
ACH-000521,Fulvestrant,188130,3,1,2,3
ACH-000521,Gefitinib,188130,3,1,2,3
ACH-000521,Gemcitabine,188130,3,1,2,3
ACH-000521,Ipatasertib,188130,3,1,2,3
ACH-000521,Irinotecan,188130,3,1,2,3
ACH-000521,LJI308,188130,3,1,2,3
ACH-000521,Methotrexate,188130,3,1,2,3
ACH-000521,Oxaliplatin,188130,3,1,2,3
ACH-000521,Paclitaxel,188130,3,1,2,3
ACH-000521,Rapamycin,250840,4,2,2,3
ACH-000521,Retinoic acid,250840,4,2,2,3
ACH-000521,Ribociclib,188130,1,1,0,3
ACH-000521,Temsirolimus,250840,4,2,2,3
ACH-000521,Trametinib,376260,6,2,4,3
ACH-000521,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000521,Vismodegib,188130,3,1,2,3
ACH-000521,crizotinib,188130,3,1,2,3
ACH-000521,olaparib,250840,4,2,2,3
ACH-000521,palbociclib,188130,3,1,2,3
ACH-000521,venetoclax,188130,3,1,2,3
ACH-000552,5-Azacytidine,188130,3,1,2,3
ACH-000552,5-Fluorouracil,188130,3,1,2,3
ACH-000552,AZD-8055,188130,3,1,2,3
ACH-000552,Afatinib,564390,7,3,4,3
ACH-000552,Alpelisib,188130,3,1,2,3
ACH-000552,Bicalutamide,188130,3,1,2,3
ACH-000552,Bortezomib,188130,3,1,2,3
ACH-000552,Capivasertib,188130,3,1,2,3
ACH-000552,Cytarabine,376260,4,2,2,3
ACH-000552,Dabrafenib,188130,3,1,2,3
ACH-000552,Dinaciclib,188130,3,1,2,3
ACH-000552,Docetaxel,250840,4,2,2,3
ACH-000552,Erlotinib,188130,3,1,2,3
ACH-000552,Fulvestrant,188130,3,1,2,3
ACH-000552,Gefitinib,188130,3,1,2,3
ACH-000552,Gemcitabine,188130,3,1,2,3
ACH-000552,Ipatasertib,188130,3,1,2,3
ACH-000552,Irinotecan,188130,3,1,2,3
ACH-000552,LJI308,188130,3,1,2,3
ACH-000552,Methotrexate,188130,3,1,2,3
ACH-000552,Oxaliplatin,188130,3,1,2,3
ACH-000552,Paclitaxel,188130,3,1,2,3
ACH-000552,Rapamycin,250840,4,2,2,3
ACH-000552,Retinoic acid,250840,4,2,2,3
ACH-000552,Ribociclib,188130,1,1,0,3
ACH-000552,Temsirolimus,250840,4,2,2,3
ACH-000552,Trametinib,376260,6,2,4,3
ACH-000552,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000552,Vismodegib,188130,3,1,2,3
ACH-000552,crizotinib,188130,3,1,2,3
ACH-000552,olaparib,250840,4,2,2,3
ACH-000552,palbociclib,188130,3,1,2,3
ACH-000552,venetoclax,188130,3,1,2,3
ACH-000555,5-Azacytidine,188130,3,1,2,3
ACH-000555,5-Fluorouracil,188130,3,1,2,3
ACH-000555,AZD-8055,188130,3,1,2,3
ACH-000555,Afatinib,564390,7,3,4,3
ACH-000555,Alpelisib,188130,3,1,2,3
ACH-000555,Bicalutamide,188130,3,1,2,3
ACH-000555,Bortezomib,188130,3,1,2,3
ACH-000555,Capivasertib,188130,3,1,2,3
ACH-000555,Cytarabine,376260,4,2,2,3
ACH-000555,Dabrafenib,188130,3,1,2,3
ACH-000555,Dinaciclib,188130,3,1,2,3
ACH-000555,Docetaxel,250840,4,2,2,3
ACH-000555,Erlotinib,188130,3,1,2,3
ACH-000555,Fulvestrant,188130,3,1,2,3
ACH-000555,Gefitinib,188130,3,1,2,3
ACH-000555,Gemcitabine,188130,3,1,2,3
ACH-000555,Ipatasertib,188130,3,1,2,3
ACH-000555,Irinotecan,188130,3,1,2,3
ACH-000555,LJI308,188130,3,1,2,3
ACH-000555,Methotrexate,188130,3,1,2,3
ACH-000555,Oxaliplatin,188130,3,1,2,3
ACH-000555,Paclitaxel,188130,3,1,2,3
ACH-000555,Rapamycin,250840,4,2,2,3
ACH-000555,Retinoic acid,250840,4,2,2,3
ACH-000555,Ribociclib,188130,1,1,0,3
ACH-000555,Temsirolimus,250840,4,2,2,3
ACH-000555,Trametinib,376260,6,2,4,3
ACH-000555,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000555,Vismodegib,188130,3,1,2,3
ACH-000555,crizotinib,188130,3,1,2,3
ACH-000555,olaparib,250840,4,2,2,3
ACH-000555,palbociclib,188130,3,1,2,3
ACH-000555,venetoclax,188130,3,1,2,3
ACH-000558,5-Azacytidine,188130,3,1,2,3
ACH-000558,5-Fluorouracil,188130,3,1,2,3
ACH-000558,AZD-8055,188130,3,1,2,3
ACH-000558,Afatinib,564390,7,3,4,3
ACH-000558,Alpelisib,188130,3,1,2,3
ACH-000558,Bicalutamide,188130,3,1,2,3
ACH-000558,Bortezomib,188130,3,1,2,3
ACH-000558,Capivasertib,188130,3,1,2,3
ACH-000558,Cytarabine,376260,4,2,2,3
ACH-000558,Dabrafenib,188130,3,1,2,3
ACH-000558,Dinaciclib,188130,3,1,2,3
ACH-000558,Docetaxel,250840,4,2,2,3
ACH-000558,Erlotinib,188130,3,1,2,3
ACH-000558,Fulvestrant,188130,3,1,2,3
ACH-000558,Gefitinib,188130,3,1,2,3
ACH-000558,Gemcitabine,188130,3,1,2,3
ACH-000558,Ipatasertib,188130,3,1,2,3
ACH-000558,Irinotecan,188130,3,1,2,3
ACH-000558,LJI308,188130,3,1,2,3
ACH-000558,Methotrexate,188130,3,1,2,3
ACH-000558,Oxaliplatin,188130,3,1,2,3
ACH-000558,Paclitaxel,188130,3,1,2,3
ACH-000558,Rapamycin,250840,4,2,2,3
ACH-000558,Retinoic acid,250840,4,2,2,3
ACH-000558,Ribociclib,188130,1,1,0,3
ACH-000558,Temsirolimus,250840,4,2,2,3
ACH-000558,Trametinib,376260,6,2,4,3
ACH-000558,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000558,Vismodegib,188130,3,1,2,3
ACH-000558,crizotinib,188130,3,1,2,3
ACH-000558,olaparib,188130,3,2,1,3
ACH-000558,palbociclib,188130,3,1,2,3
ACH-000558,venetoclax,188130,3,1,2,3
ACH-000580,5-Azacytidine,188130,3,1,2,3
ACH-000580,5-Fluorouracil,188130,3,1,2,3
ACH-000580,AZD-8055,188130,3,1,2,3
ACH-000580,Afatinib,564390,7,3,4,3
ACH-000580,Alpelisib,188130,3,1,2,3
ACH-000580,Bicalutamide,188130,3,1,2,3
ACH-000580,Bortezomib,188130,3,1,2,3
ACH-000580,Capivasertib,188130,3,1,2,3
ACH-000580,Cytarabine,376260,4,2,2,3
ACH-000580,Dabrafenib,188130,3,1,2,3
ACH-000580,Dinaciclib,188130,3,1,2,3
ACH-000580,Docetaxel,250840,4,2,2,3
ACH-000580,Erlotinib,188130,3,1,2,3
ACH-000580,Fulvestrant,188130,3,1,2,3
ACH-000580,Gefitinib,188130,3,1,2,3
ACH-000580,Gemcitabine,188130,3,1,2,3
ACH-000580,Ipatasertib,188130,3,1,2,3
ACH-000580,Irinotecan,188130,3,1,2,3
ACH-000580,LJI308,188130,3,1,2,3
ACH-000580,Methotrexate,188130,3,1,2,3
ACH-000580,Oxaliplatin,188130,3,1,2,3
ACH-000580,Paclitaxel,188130,3,1,2,3
ACH-000580,Rapamycin,250840,4,2,2,3
ACH-000580,Retinoic acid,250840,4,2,2,3
ACH-000580,Ribociclib,188130,1,1,0,3
ACH-000580,Temsirolimus,250840,4,2,2,3
ACH-000580,Trametinib,376260,6,2,4,3
ACH-000580,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000580,Vismodegib,188130,3,1,2,3
ACH-000580,crizotinib,188130,3,1,2,3
ACH-000580,olaparib,250840,4,2,2,3
ACH-000580,palbociclib,188130,3,1,2,3
ACH-000580,venetoclax,188130,3,1,2,3
ACH-000601,5-Azacytidine,188130,3,1,2,3
ACH-000601,5-Fluorouracil,188130,3,1,2,3
ACH-000601,AZD-8055,188130,3,1,2,3
ACH-000601,Afatinib,564390,7,3,4,3
ACH-000601,Alpelisib,188130,3,1,2,3
ACH-000601,Bicalutamide,188130,3,1,2,3
ACH-000601,Bortezomib,188130,3,1,2,3
ACH-000601,Capivasertib,188130,3,1,2,3
ACH-000601,Cytarabine,376260,4,2,2,3
ACH-000601,Dabrafenib,188130,3,1,2,3
ACH-000601,Dinaciclib,188130,3,1,2,3
ACH-000601,Docetaxel,250840,4,2,2,3
ACH-000601,Erlotinib,188130,3,1,2,3
ACH-000601,Fulvestrant,188130,3,1,2,3
ACH-000601,Gefitinib,188130,3,1,2,3
ACH-000601,Gemcitabine,188130,3,1,2,3
ACH-000601,Ipatasertib,188130,3,1,2,3
ACH-000601,Irinotecan,188130,3,1,2,3
ACH-000601,LJI308,188130,3,1,2,3
ACH-000601,Methotrexate,188130,3,1,2,3
ACH-000601,Oxaliplatin,188130,3,1,2,3
ACH-000601,Paclitaxel,188130,3,1,2,3
ACH-000601,Rapamycin,250840,4,2,2,3
ACH-000601,Retinoic acid,250840,4,2,2,3
ACH-000601,Ribociclib,188130,1,1,0,3
ACH-000601,Temsirolimus,250840,4,2,2,3
ACH-000601,Trametinib,376260,6,2,4,3
ACH-000601,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000601,Vismodegib,188130,3,1,2,3
ACH-000601,crizotinib,188130,3,1,2,3
ACH-000601,olaparib,188130,3,2,1,3
ACH-000601,palbociclib,188130,3,1,2,3
ACH-000601,venetoclax,188130,3,1,2,3
ACH-000628,5-Azacytidine,188130,3,1,2,3
ACH-000628,5-Fluorouracil,188130,3,1,2,3
ACH-000628,AZD-8055,188130,3,1,2,3
ACH-000628,Afatinib,564390,7,3,4,3
ACH-000628,Alpelisib,188130,3,1,2,3
ACH-000628,Bicalutamide,188130,3,1,2,3
ACH-000628,Bortezomib,188130,3,1,2,3
ACH-000628,Capivasertib,188130,3,1,2,3
ACH-000628,Cytarabine,376260,4,2,2,3
ACH-000628,Dabrafenib,188130,3,1,2,3
ACH-000628,Dinaciclib,188130,3,1,2,3
ACH-000628,Docetaxel,250840,4,2,2,3
ACH-000628,Erlotinib,188130,3,1,2,3
ACH-000628,Fulvestrant,188130,3,1,2,3
ACH-000628,Gefitinib,188130,3,1,2,3
ACH-000628,Gemcitabine,188130,3,1,2,3
ACH-000628,Ipatasertib,188130,3,1,2,3
ACH-000628,Irinotecan,188130,3,1,2,3
ACH-000628,LJI308,188130,3,1,2,3
ACH-000628,Methotrexate,188130,3,1,2,3
ACH-000628,Oxaliplatin,188130,3,1,2,3
ACH-000628,Paclitaxel,188130,3,1,2,3
ACH-000628,Rapamycin,250840,4,2,2,3
ACH-000628,Retinoic acid,250840,4,2,2,3
ACH-000628,Ribociclib,188130,1,1,0,3
ACH-000628,Temsirolimus,250840,4,2,2,3
ACH-000628,Trametinib,376260,6,2,4,3
ACH-000628,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000628,Vismodegib,188130,3,1,2,3
ACH-000628,crizotinib,188130,3,1,2,3
ACH-000628,olaparib,188130,3,2,1,3
ACH-000628,palbociclib,188130,3,1,2,3
ACH-000628,venetoclax,188130,3,1,2,3
ACH-000669,5-Azacytidine,188130,3,1,2,3
ACH-000669,5-Fluorouracil,188130,3,1,2,3
ACH-000669,AZD-8055,188130,3,1,2,3
ACH-000669,Afatinib,564390,7,3,4,3
ACH-000669,Alpelisib,188130,3,1,2,3
ACH-000669,Bicalutamide,188130,3,1,2,3
ACH-000669,Bortezomib,188130,3,1,2,3
ACH-000669,Capivasertib,188130,3,1,2,3
ACH-000669,Cytarabine,376260,4,2,2,3
ACH-000669,Dabrafenib,188130,3,1,2,3
ACH-000669,Dinaciclib,188130,3,1,2,3
ACH-000669,Docetaxel,250840,4,2,2,3
ACH-000669,Erlotinib,188130,3,1,2,3
ACH-000669,Fulvestrant,188130,3,1,2,3
ACH-000669,Gefitinib,188130,3,1,2,3
ACH-000669,Gemcitabine,188130,3,1,2,3
ACH-000669,Ipatasertib,188130,3,1,2,3
ACH-000669,Irinotecan,188130,3,1,2,3
ACH-000669,LJI308,188130,3,1,2,3
ACH-000669,Methotrexate,188130,3,1,2,3
ACH-000669,Oxaliplatin,188130,3,1,2,3
ACH-000669,Paclitaxel,188130,3,1,2,3
ACH-000669,Rapamycin,250840,4,2,2,3
ACH-000669,Retinoic acid,250840,4,2,2,3
ACH-000669,Ribociclib,188130,1,1,0,3
ACH-000669,Temsirolimus,250840,4,2,2,3
ACH-000669,Trametinib,376260,6,2,4,3
ACH-000669,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000669,Vismodegib,188130,3,1,2,3
ACH-000669,crizotinib,188130,3,1,2,3
ACH-000669,olaparib,250840,4,2,2,3
ACH-000669,palbociclib,188130,3,1,2,3
ACH-000669,venetoclax,188130,3,1,2,3
ACH-000681,5-Azacytidine,188130,3,1,2,3
ACH-000681,5-Fluorouracil,188130,3,1,2,3
ACH-000681,AZD-8055,188130,3,1,2,3
ACH-000681,Afatinib,564390,7,3,4,3
ACH-000681,Alpelisib,188130,3,1,2,3
ACH-000681,Bicalutamide,188130,3,1,2,3
ACH-000681,Bortezomib,188130,3,1,2,3
ACH-000681,Capivasertib,188130,3,1,2,3
ACH-000681,Cytarabine,376260,4,2,2,3
ACH-000681,Dabrafenib,188130,3,1,2,3
ACH-000681,Dinaciclib,188130,3,1,2,3
ACH-000681,Docetaxel,250840,4,2,2,3
ACH-000681,Erlotinib,188130,3,1,2,3
ACH-000681,Fulvestrant,188130,3,1,2,3
ACH-000681,Gefitinib,188130,3,1,2,3
ACH-000681,Gemcitabine,188130,3,1,2,3
ACH-000681,Ipatasertib,188130,3,1,2,3
ACH-000681,Irinotecan,188130,3,1,2,3
ACH-000681,LJI308,188130,3,1,2,3
ACH-000681,Methotrexate,188130,3,1,2,3
ACH-000681,Oxaliplatin,188130,3,1,2,3
ACH-000681,Paclitaxel,188130,3,1,2,3
ACH-000681,Rapamycin,250840,4,2,2,3
ACH-000681,Retinoic acid,250840,4,2,2,3
ACH-000681,Ribociclib,188130,1,1,0,3
ACH-000681,Temsirolimus,250840,4,2,2,3
ACH-000681,Trametinib,376260,6,2,4,3
ACH-000681,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000681,Vismodegib,188130,3,1,2,3
ACH-000681,crizotinib,188130,3,1,2,3
ACH-000681,olaparib,250840,4,2,2,3
ACH-000681,palbociclib,188130,3,1,2,3
ACH-000681,venetoclax,188130,3,1,2,3
ACH-000750,5-Azacytidine,188130,3,1,2,3
ACH-000750,5-Fluorouracil,188130,3,1,2,3
ACH-000750,AZD-8055,188130,3,1,2,3
ACH-000750,Afatinib,564390,7,3,4,3
ACH-000750,Alpelisib,188130,3,1,2,3
ACH-000750,Bicalutamide,188130,3,1,2,3
ACH-000750,Bortezomib,188130,3,1,2,3
ACH-000750,Capivasertib,188130,3,1,2,3
ACH-000750,Cytarabine,376260,4,2,2,3
ACH-000750,Dabrafenib,188130,3,1,2,3
ACH-000750,Dinaciclib,188130,3,1,2,3
ACH-000750,Docetaxel,250840,4,2,2,3
ACH-000750,Erlotinib,188130,3,1,2,3
ACH-000750,Fulvestrant,188130,3,1,2,3
ACH-000750,Gefitinib,188130,3,1,2,3
ACH-000750,Gemcitabine,188130,3,1,2,3
ACH-000750,Ipatasertib,188130,3,1,2,3
ACH-000750,Irinotecan,188130,3,1,2,3
ACH-000750,LJI308,188130,3,1,2,3
ACH-000750,Methotrexate,188130,3,1,2,3
ACH-000750,Oxaliplatin,188130,3,1,2,3
ACH-000750,Paclitaxel,188130,3,1,2,3
ACH-000750,Rapamycin,250840,4,2,2,3
ACH-000750,Retinoic acid,250840,4,2,2,3
ACH-000750,Ribociclib,188130,1,1,0,3
ACH-000750,Temsirolimus,250840,4,2,2,3
ACH-000750,Trametinib,376260,6,2,4,3
ACH-000750,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000750,Vismodegib,188130,3,1,2,3
ACH-000750,crizotinib,188130,3,1,2,3
ACH-000750,olaparib,250840,4,2,2,3
ACH-000750,palbociclib,188130,3,1,2,3
ACH-000750,venetoclax,188130,3,1,2,3
ACH-000757,5-Azacytidine,188130,3,1,2,3
ACH-000757,5-Fluorouracil,188130,3,1,2,3
ACH-000757,AZD-8055,188130,3,1,2,3
ACH-000757,Afatinib,564390,7,3,4,3
ACH-000757,Alpelisib,188130,3,1,2,3
ACH-000757,Bicalutamide,188130,3,1,2,3
ACH-000757,Bortezomib,188130,3,1,2,3
ACH-000757,Capivasertib,188130,3,1,2,3
ACH-000757,Cytarabine,376260,4,2,2,3
ACH-000757,Dabrafenib,188130,3,1,2,3
ACH-000757,Dinaciclib,188130,3,1,2,3
ACH-000757,Docetaxel,250840,4,2,2,3
ACH-000757,Erlotinib,188130,3,1,2,3
ACH-000757,Fulvestrant,188130,3,1,2,3
ACH-000757,Gefitinib,188130,3,1,2,3
ACH-000757,Gemcitabine,188130,3,1,2,3
ACH-000757,Ipatasertib,188130,3,1,2,3
ACH-000757,Irinotecan,188130,3,1,2,3
ACH-000757,LJI308,188130,3,1,2,3
ACH-000757,Methotrexate,188130,3,1,2,3
ACH-000757,Oxaliplatin,188130,3,1,2,3
ACH-000757,Paclitaxel,188130,3,1,2,3
ACH-000757,Rapamycin,250840,4,2,2,3
ACH-000757,Retinoic acid,250840,4,2,2,3
ACH-000757,Ribociclib,188130,1,1,0,3
ACH-000757,Temsirolimus,250840,4,2,2,3
ACH-000757,Trametinib,376260,6,2,4,3
ACH-000757,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000757,Vismodegib,188130,3,1,2,3
ACH-000757,crizotinib,188130,3,1,2,3
ACH-000757,olaparib,250840,4,2,2,3
ACH-000757,palbociclib,188130,3,1,2,3
ACH-000757,venetoclax,188130,3,1,2,3
ACH-000790,5-Azacytidine,188130,3,1,2,3
ACH-000790,5-Fluorouracil,188130,3,1,2,3
ACH-000790,AZD-8055,188130,3,1,2,3
ACH-000790,Afatinib,564390,7,3,4,3
ACH-000790,Alpelisib,188130,3,1,2,3
ACH-000790,Bicalutamide,188130,3,1,2,3
ACH-000790,Bortezomib,188130,3,1,2,3
ACH-000790,Capivasertib,188130,3,1,2,3
ACH-000790,Cytarabine,376260,4,2,2,3
ACH-000790,Dabrafenib,188130,3,1,2,3
ACH-000790,Dinaciclib,188130,3,1,2,3
ACH-000790,Docetaxel,250840,4,2,2,3
ACH-000790,Erlotinib,188130,3,1,2,3
ACH-000790,Fulvestrant,188130,3,1,2,3
ACH-000790,Gefitinib,188130,3,1,2,3
ACH-000790,Gemcitabine,188130,3,1,2,3
ACH-000790,Ipatasertib,188130,3,1,2,3
ACH-000790,Irinotecan,188130,3,1,2,3
ACH-000790,LJI308,188130,3,1,2,3
ACH-000790,Methotrexate,188130,3,1,2,3
ACH-000790,Oxaliplatin,188130,3,1,2,3
ACH-000790,Paclitaxel,188130,3,1,2,3
ACH-000790,Rapamycin,250840,4,2,2,3
ACH-000790,Retinoic acid,250840,4,2,2,3
ACH-000790,Ribociclib,188130,1,1,0,3
ACH-000790,Temsirolimus,250840,4,2,2,3
ACH-000790,Trametinib,376260,6,2,4,3
ACH-000790,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000790,Vismodegib,188130,3,1,2,3
ACH-000790,crizotinib,188130,3,1,2,3
ACH-000790,olaparib,250840,4,2,2,3
ACH-000790,palbociclib,188130,3,1,2,3
ACH-000790,venetoclax,188130,3,1,2,3
ACH-000793,5-Azacytidine,188130,3,1,2,3
ACH-000793,5-Fluorouracil,188130,3,1,2,3
ACH-000793,AZD-8055,188130,3,1,2,3
ACH-000793,Afatinib,564390,7,3,4,3
ACH-000793,Alpelisib,188130,3,1,2,3
ACH-000793,Bicalutamide,188130,3,1,2,3
ACH-000793,Bortezomib,188130,3,1,2,3
ACH-000793,Capivasertib,188130,3,1,2,3
ACH-000793,Cytarabine,376260,4,2,2,3
ACH-000793,Dabrafenib,188130,3,1,2,3
ACH-000793,Dinaciclib,188130,3,1,2,3
ACH-000793,Docetaxel,250840,4,2,2,3
ACH-000793,Erlotinib,188130,3,1,2,3
ACH-000793,Fulvestrant,188130,3,1,2,3
ACH-000793,Gefitinib,188130,3,1,2,3
ACH-000793,Gemcitabine,188130,3,1,2,3
ACH-000793,Ipatasertib,188130,3,1,2,3
ACH-000793,Irinotecan,188130,3,1,2,3
ACH-000793,LJI308,188130,3,1,2,3
ACH-000793,Methotrexate,188130,3,1,2,3
ACH-000793,Oxaliplatin,188130,3,1,2,3
ACH-000793,Paclitaxel,188130,3,1,2,3
ACH-000793,Rapamycin,250840,4,2,2,3
ACH-000793,Retinoic acid,250840,4,2,2,3
ACH-000793,Ribociclib,188130,1,1,0,3
ACH-000793,Temsirolimus,250840,4,2,2,3
ACH-000793,Trametinib,376260,6,2,4,3
ACH-000793,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000793,Vismodegib,188130,3,1,2,3
ACH-000793,crizotinib,188130,3,1,2,3
ACH-000793,olaparib,250840,4,2,2,3
ACH-000793,palbociclib,188130,3,1,2,3
ACH-000793,venetoclax,188130,3,1,2,3
ACH-000842,5-Azacytidine,188130,3,1,2,3
ACH-000842,5-Fluorouracil,188130,3,1,2,3
ACH-000842,AZD-8055,188130,3,1,2,3
ACH-000842,Afatinib,564390,7,3,4,3
ACH-000842,Alpelisib,188130,3,1,2,3
ACH-000842,Bicalutamide,188130,3,1,2,3
ACH-000842,Bortezomib,188130,3,1,2,3
ACH-000842,Capivasertib,188130,3,1,2,3
ACH-000842,Cytarabine,376260,4,2,2,3
ACH-000842,Dabrafenib,188130,3,1,2,3
ACH-000842,Dinaciclib,188130,3,1,2,3
ACH-000842,Docetaxel,250840,4,2,2,3
ACH-000842,Erlotinib,188130,3,1,2,3
ACH-000842,Fulvestrant,188130,3,1,2,3
ACH-000842,Gefitinib,188130,3,1,2,3
ACH-000842,Gemcitabine,188130,3,1,2,3
ACH-000842,Ipatasertib,188130,3,1,2,3
ACH-000842,Irinotecan,188130,3,1,2,3
ACH-000842,LJI308,188130,3,1,2,3
ACH-000842,Methotrexate,188130,3,1,2,3
ACH-000842,Oxaliplatin,188130,3,1,2,3
ACH-000842,Paclitaxel,188130,3,1,2,3
ACH-000842,Rapamycin,250840,4,2,2,3
ACH-000842,Retinoic acid,250840,4,2,2,3
ACH-000842,Ribociclib,188130,1,1,0,3
ACH-000842,Temsirolimus,250840,4,2,2,3
ACH-000842,Trametinib,376260,6,2,4,3
ACH-000842,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000842,Vismodegib,188130,3,1,2,3
ACH-000842,crizotinib,188130,3,1,2,3
ACH-000842,olaparib,250840,4,2,2,3
ACH-000842,palbociclib,188130,3,1,2,3
ACH-000842,venetoclax,188130,3,1,2,3
ACH-000853,5-Azacytidine,188130,3,1,2,3
ACH-000853,5-Fluorouracil,188130,3,1,2,3
ACH-000853,AZD-8055,188130,3,1,2,3
ACH-000853,Afatinib,564390,7,3,4,3
ACH-000853,Alpelisib,188130,3,1,2,3
ACH-000853,Bicalutamide,188130,3,1,2,3
ACH-000853,Bortezomib,188130,3,1,2,3
ACH-000853,Capivasertib,188130,3,1,2,3
ACH-000853,Cytarabine,376260,4,2,2,3
ACH-000853,Dabrafenib,188130,3,1,2,3
ACH-000853,Dinaciclib,188130,3,1,2,3
ACH-000853,Docetaxel,250840,4,2,2,3
ACH-000853,Erlotinib,188130,3,1,2,3
ACH-000853,Fulvestrant,188130,3,1,2,3
ACH-000853,Gefitinib,188130,3,1,2,3
ACH-000853,Gemcitabine,188130,3,1,2,3
ACH-000853,Ipatasertib,188130,3,1,2,3
ACH-000853,Irinotecan,188130,3,1,2,3
ACH-000853,LJI308,188130,3,1,2,3
ACH-000853,Methotrexate,188130,3,1,2,3
ACH-000853,Oxaliplatin,188130,3,1,2,3
ACH-000853,Paclitaxel,188130,3,1,2,3
ACH-000853,Rapamycin,250840,4,2,2,3
ACH-000853,Retinoic acid,250840,4,2,2,3
ACH-000853,Ribociclib,188130,1,1,0,3
ACH-000853,Temsirolimus,250840,4,2,2,3
ACH-000853,Trametinib,376260,6,2,4,3
ACH-000853,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000853,Vismodegib,188130,3,1,2,3
ACH-000853,crizotinib,188130,3,1,2,3
ACH-000853,olaparib,188130,3,2,1,3
ACH-000853,palbociclib,188130,3,1,2,3
ACH-000853,venetoclax,188130,3,1,2,3
ACH-000861,5-Azacytidine,188130,3,1,2,3
ACH-000861,5-Fluorouracil,188130,3,1,2,3
ACH-000861,AZD-8055,188130,3,1,2,3
ACH-000861,Afatinib,564390,7,3,4,3
ACH-000861,Alpelisib,188130,3,1,2,3
ACH-000861,Bicalutamide,188130,3,1,2,3
ACH-000861,Bortezomib,188130,3,1,2,3
ACH-000861,Capivasertib,188130,3,1,2,3
ACH-000861,Cytarabine,376260,4,2,2,3
ACH-000861,Dabrafenib,188130,3,1,2,3
ACH-000861,Dinaciclib,188130,3,1,2,3
ACH-000861,Docetaxel,250840,4,2,2,3
ACH-000861,Erlotinib,188130,3,1,2,3
ACH-000861,Fulvestrant,188130,3,1,2,3
ACH-000861,Gefitinib,188130,3,1,2,3
ACH-000861,Gemcitabine,188130,3,1,2,3
ACH-000861,Ipatasertib,188130,3,1,2,3
ACH-000861,Irinotecan,188130,3,1,2,3
ACH-000861,LJI308,188130,3,1,2,3
ACH-000861,Methotrexate,188130,3,1,2,3
ACH-000861,Oxaliplatin,188130,3,1,2,3
ACH-000861,Paclitaxel,188130,3,1,2,3
ACH-000861,Rapamycin,250840,4,2,2,3
ACH-000861,Retinoic acid,250840,4,2,2,3
ACH-000861,Ribociclib,188130,1,1,0,3
ACH-000861,Temsirolimus,250840,4,2,2,3
ACH-000861,Trametinib,376260,6,2,4,3
ACH-000861,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000861,Vismodegib,188130,3,1,2,3
ACH-000861,crizotinib,188130,3,1,2,3
ACH-000861,olaparib,250840,4,2,2,3
ACH-000861,palbociclib,188130,3,1,2,3
ACH-000861,venetoclax,188130,3,1,2,3
ACH-000875,5-Azacytidine,188130,3,1,2,3
ACH-000875,5-Fluorouracil,188130,3,1,2,3
ACH-000875,AZD-8055,188130,3,1,2,3
ACH-000875,Afatinib,564390,7,3,4,3
ACH-000875,Alpelisib,188130,3,1,2,3
ACH-000875,Bicalutamide,188130,3,1,2,3
ACH-000875,Bortezomib,188130,3,1,2,3
ACH-000875,Capivasertib,188130,3,1,2,3
ACH-000875,Cytarabine,376260,4,2,2,3
ACH-000875,Dabrafenib,188130,3,1,2,3
ACH-000875,Dinaciclib,188130,3,1,2,3
ACH-000875,Docetaxel,250840,4,2,2,3
ACH-000875,Erlotinib,188130,3,1,2,3
ACH-000875,Fulvestrant,188130,3,1,2,3
ACH-000875,Gefitinib,188130,3,1,2,3
ACH-000875,Gemcitabine,188130,3,1,2,3
ACH-000875,Ipatasertib,188130,3,1,2,3
ACH-000875,Irinotecan,188130,3,1,2,3
ACH-000875,LJI308,188130,3,1,2,3
ACH-000875,Methotrexate,188130,3,1,2,3
ACH-000875,Oxaliplatin,188130,3,1,2,3
ACH-000875,Paclitaxel,188130,3,1,2,3
ACH-000875,Rapamycin,250840,4,2,2,3
ACH-000875,Retinoic acid,250840,4,2,2,3
ACH-000875,Ribociclib,188130,1,1,0,3
ACH-000875,Temsirolimus,250840,4,2,2,3
ACH-000875,Trametinib,376260,6,2,4,3
ACH-000875,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000875,Vismodegib,188130,3,1,2,3
ACH-000875,crizotinib,188130,3,1,2,3
ACH-000875,olaparib,188130,3,2,1,3
