patient,drug,n_rows,n_plates,n_plates_half0,n_plates_half1,n_dose_levels
ACH-000164,Afatinib,564390,7,3,4,3
ACH-000164,Alpelisib,188130,3,1,2,3
ACH-000164,Bicalutamide,188130,3,1,2,3
ACH-000164,Bortezomib,188130,3,1,2,3
ACH-000164,Capivasertib,188130,3,1,2,3
ACH-000164,Cytarabine,376260,4,2,2,3
ACH-000164,Dabrafenib,188130,3,1,2,3
ACH-000164,Dinaciclib,188130,3,1,2,3
ACH-000164,Docetaxel,250840,4,2,2,3
ACH-000164,Erlotinib,188130,3,1,2,3
ACH-000164,Fulvestrant,188130,3,1,2,3
ACH-000164,Gefitinib,188130,3,1,2,3
ACH-000164,Gemcitabine,188130,3,1,2,3
ACH-000164,Ipatasertib,188130,3,1,2,3
ACH-000164,Irinotecan,188130,3,1,2,3
ACH-000164,LJI308,188130,3,1,2,3
ACH-000164,Methotrexate,188130,3,1,2,3
ACH-000164,Oxaliplatin,188130,3,1,2,3
ACH-000164,Paclitaxel,188130,3,1,2,3
ACH-000164,Rapamycin,250840,4,2,2,3
ACH-000164,Retinoic acid,250840,4,2,2,3
ACH-000164,Ribociclib,188130,1,1,0,3
ACH-000164,Temsirolimus,250840,4,2,2,3
ACH-000164,Trametinib,376260,6,2,4,3
ACH-000164,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000164,Vismodegib,188130,3,1,2,3
ACH-000164,crizotinib,188130,3,1,2,3
ACH-000164,olaparib,250840,4,2,2,3
ACH-000164,palbociclib,188130,3,1,2,3
ACH-000164,venetoclax,188130,3,1,2,3
ACH-000178,5-Azacytidine,188130,3,1,2,3
ACH-000178,5-Fluorouracil,188130,3,1,2,3
ACH-000178,AZD-8055,188130,3,1,2,3
ACH-000178,Afatinib,564390,7,3,4,3
ACH-000178,Alpelisib,188130,3,1,2,3
ACH-000178,Bicalutamide,188130,3,1,2,3
ACH-000178,Bortezomib,188130,3,1,2,3
ACH-000178,Capivasertib,188130,3,1,2,3
ACH-000178,Cytarabine,376260,4,2,2,3
ACH-000178,Dabrafenib,188130,3,1,2,3
ACH-000178,Dinaciclib,188130,3,1,2,3
ACH-000178,Docetaxel,250840,4,2,2,3
ACH-000178,Erlotinib,188130,3,1,2,3
ACH-000178,Fulvestrant,188130,3,1,2,3
ACH-000178,Gefitinib,188130,3,1,2,3
ACH-000178,Gemcitabine,188130,3,1,2,3
ACH-000178,Ipatasertib,188130,3,1,2,3
ACH-000178,Irinotecan,188130,3,1,2,3
ACH-000178,LJI308,188130,3,1,2,3
ACH-000178,Methotrexate,188130,3,1,2,3
ACH-000178,Oxaliplatin,188130,3,1,2,3
ACH-000178,Paclitaxel,188130,3,1,2,3
ACH-000178,Rapamycin,250840,4,2,2,3
ACH-000178,Retinoic acid,250840,4,2,2,3
ACH-000178,Ribociclib,188130,1,1,0,3
ACH-000178,Temsirolimus,250840,4,2,2,3
ACH-000178,Trametinib,376260,6,2,4,3
ACH-000178,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000178,Vismodegib,188130,3,1,2,3
ACH-000178,crizotinib,188130,3,1,2,3
ACH-000178,olaparib,250840,4,2,2,3
ACH-000178,palbociclib,188130,3,1,2,3
ACH-000178,venetoclax,188130,3,1,2,3
ACH-000222,5-Azacytidine,188130,3,1,2,3
ACH-000222,5-Fluorouracil,188130,3,1,2,3
ACH-000222,AZD-8055,188130,3,1,2,3
ACH-000222,Afatinib,564390,7,3,4,3
ACH-000222,Alpelisib,188130,3,1,2,3
ACH-000222,Bicalutamide,188130,3,1,2,3
ACH-000222,Bortezomib,188130,3,1,2,3
ACH-000222,Capivasertib,188130,3,1,2,3
ACH-000222,Cytarabine,376260,4,2,2,3
ACH-000222,Dabrafenib,188130,3,1,2,3
ACH-000222,Dinaciclib,188130,3,1,2,3
ACH-000222,Docetaxel,250840,4,2,2,3
ACH-000222,Erlotinib,188130,3,1,2,3
ACH-000222,Fulvestrant,188130,3,1,2,3
ACH-000222,Gefitinib,188130,3,1,2,3
ACH-000222,Gemcitabine,188130,3,1,2,3
ACH-000222,Ipatasertib,188130,3,1,2,3
ACH-000222,Irinotecan,188130,3,1,2,3
ACH-000222,LJI308,188130,3,1,2,3
ACH-000222,Methotrexate,188130,3,1,2,3
ACH-000222,Oxaliplatin,188130,3,1,2,3
ACH-000222,Paclitaxel,188130,3,1,2,3
ACH-000222,Rapamycin,250840,4,2,2,3
ACH-000222,Retinoic acid,250840,4,2,2,3
ACH-000222,Ribociclib,188130,1,1,0,3
ACH-000222,Temsirolimus,250840,4,2,2,3
ACH-000222,Trametinib,376260,6,2,4,3
ACH-000222,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000222,Vismodegib,188130,3,1,2,3
ACH-000222,crizotinib,188130,3,1,2,3
ACH-000222,olaparib,250840,4,2,2,3
ACH-000222,palbociclib,188130,3,1,2,3
ACH-000222,venetoclax,188130,3,1,2,3
ACH-000236,5-Azacytidine,188130,3,1,2,3
ACH-000236,5-Fluorouracil,188130,3,1,2,3
ACH-000236,AZD-8055,188130,3,1,2,3
ACH-000236,Afatinib,564390,7,3,4,3
ACH-000236,Alpelisib,188130,3,1,2,3
ACH-000236,Bicalutamide,188130,3,1,2,3
ACH-000236,Bortezomib,188130,3,1,2,3
ACH-000236,Capivasertib,188130,3,1,2,3
ACH-000236,Cytarabine,376260,4,2,2,3
ACH-000236,Dabrafenib,188130,3,1,2,3
ACH-000236,Dinaciclib,188130,3,1,2,3
ACH-000236,Docetaxel,250840,4,2,2,3
ACH-000236,Erlotinib,188130,3,1,2,3
ACH-000236,Fulvestrant,188130,3,1,2,3
ACH-000236,Gefitinib,188130,3,1,2,3
ACH-000236,Gemcitabine,188130,3,1,2,3
ACH-000236,Ipatasertib,188130,3,1,2,3
ACH-000236,Irinotecan,188130,3,1,2,3
ACH-000236,LJI308,188130,3,1,2,3
ACH-000236,Methotrexate,188130,3,1,2,3
ACH-000236,Oxaliplatin,188130,3,1,2,3
ACH-000236,Paclitaxel,188130,3,1,2,3
ACH-000236,Rapamycin,250840,4,2,2,3
ACH-000236,Retinoic acid,250840,4,2,2,3
ACH-000236,Ribociclib,188130,1,1,0,3
ACH-000236,Temsirolimus,250840,4,2,2,3
ACH-000236,Trametinib,376260,6,2,4,3
ACH-000236,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000236,Vismodegib,188130,3,1,2,3
ACH-000236,crizotinib,188130,3,1,2,3
ACH-000236,olaparib,250840,4,2,2,3
ACH-000236,palbociclib,188130,3,1,2,3
ACH-000236,venetoclax,188130,3,1,2,3
ACH-000311,5-Azacytidine,188130,3,1,2,3
ACH-000311,5-Fluorouracil,188130,3,1,2,3
ACH-000311,AZD-8055,188130,3,1,2,3
ACH-000311,Afatinib,564390,7,3,4,3
ACH-000311,Alpelisib,188130,3,1,2,3
ACH-000311,Bicalutamide,188130,3,1,2,3
ACH-000311,Bortezomib,188130,3,1,2,3
ACH-000311,Capivasertib,188130,3,1,2,3
ACH-000311,Cytarabine,376260,4,2,2,3
ACH-000311,Dabrafenib,188130,3,1,2,3
